Population_Code,Population,,Latitude,Longitude,Year_start,Year_end,Altitude,Hibiscus_species,Year_start,Year_end,Sex,Sh8,Sh8,Sh8ii,Sh8ii,Sh9,Sh9,Sh13,Sh13,Sh34d,Sh34d,Sh36c,Sh36c,Sh38d,Sh38d,Sh48,Sh48,Sh49,Sh49,Sh72,Sh72,Sh74,Sh74,Sh78,Sh78,Sh81,Sh81,Sh88,Sh88,Sh89,Sh89,Sh90,Sh90,Sh94,Sh94
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,female,171,171,130,130,127,127,82,88,152,152,132,132,112,113,125,125,194,197,161,161,76,76,204,204,135,135,99,117,83,83,134,134,190,192
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,female,171,177,130,130,127,127,82,86,152,154,132,132,110,118,125,125,191,194,161,161,76,76,204,204,135,135,87,115,83,83,134,134,188,192
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,female,171,171,130,130,127,127,82,92,152,154,128,132,112,112,125,125,190,197,161,161,76,76,204,204,135,135,99,99,83,83,134,134,186,190
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,female,177,177,130,130,127,127,72,82,152,154,122,130,112,112,125,125,185,194,161,161,76,76,204,204,135,135,105,105,83,83,134,134,190,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,171,171,130,130,127,127,82,82,152,154,122,122,112,112,125,125,185,191,161,161,76,76,204,204,135,135,99,117,83,83,0,0,186,190
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,171,175,130,130,127,127,82,82,152,154,132,132,112,112,125,125,185,190,161,161,666,666,204,204,135,135,99,115,83,83,134,134,188,190
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,179,179,130,130,127,127,80,86,152,152,122,134,118,118,125,125,185,194,161,161,76,76,204,204,135,135,105,115,83,83,134,134,186,190
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,171,171,130,130,127,127,86,86,152,152,132,132,112,112,125,125,185,193,161,161,76,76,204,204,135,135,99,99,83,83,134,134,186,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,175,179,130,130,125,125,82,86,152,152,132,132,110,110,125,125,189,195,161,161,76,76,204,204,135,135,99,117,83,83,134,134,190,190
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,171,179,130,130,127,127,72,92,152,154,132,132,112,112,125,125,188,194,161,161,76,76,204,204,135,135,99,105,83,83,134,134,190,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,171,179,130,130,127,127,86,88,152,152,132,132,112,112,125,125,191,194,161,161,76,76,204,204,135,135,91,117,83,83,134,134,0,0
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,171,171,130,130,127,127,82,88,154,154,132,132,110,112,125,125,190,190,161,161,76,76,204,204,135,135,99,115,83,83,134,134,190,200
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,171,171,130,130,127,127,82,90,152,152,132,134,112,112,125,125,187,194,161,161,76,76,204,204,135,135,89,117,83,83,134,134,192,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,179,179,130,130,127,127,72,90,152,154,122,132,110,112,125,125,190,190,161,161,76,76,204,204,135,135,99,115,83,83,134,134,190,190
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,171,175,130,130,127,127,80,84,152,152,132,132,112,112,125,125,191,194,161,161,76,76,204,204,135,135,99,115,83,83,134,134,184,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,171,171,130,130,127,127,84,90,152,152,132,132,0,0,125,125,190,191,161,161,76,76,204,204,135,135,105,117,83,83,666,666,186,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,175,175,130,130,127,127,80,82,152,154,128,132,110,112,125,125,190,194,161,161,76,76,204,204,135,135,115,117,83,83,134,134,190,190
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,171,179,130,130,127,127,72,82,152,152,132,132,110,112,125,125,185,190,161,161,76,76,204,204,135,135,99,111,83,83,134,134,186,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,177,177,130,130,127,127,82,88,152,154,122,132,118,118,125,125,194,194,161,161,76,76,204,204,135,135,115,115,83,83,134,134,192,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,171,171,130,130,127,127,84,86,152,152,132,132,112,112,125,125,185,185,161,161,76,76,204,204,135,135,99,101,83,83,134,134,186,190
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,175,179,130,130,127,127,84,86,152,152,132,132,112,118,125,125,190,194,161,161,76,76,0,0,135,135,99,105,83,83,134,134,190,190
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,175,179,130,130,127,127,80,86,152,154,130,132,112,112,125,125,191,191,161,161,76,76,204,204,135,135,105,115,83,83,134,134,186,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,171,171,130,130,127,127,72,86,152,154,132,132,112,113,125,125,185,191,161,161,76,76,204,204,135,135,99,117,83,83,133,135,190,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,177,181,130,130,127,127,78,88,152,152,128,132,112,112,125,125,190,190,161,161,76,76,204,204,135,135,117,117,83,83,0,0,192,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,male,171,179,130,130,127,127,80,88,152,152,128,130,110,118,125,125,190,190,161,161,76,76,204,204,135,135,89,105,83,83,666,666,188,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,175,177,130,130,127,127,72,82,152,152,132,132,110,110,125,125,185,196,161,161,76,76,204,204,135,135,103,117,83,83,134,135,186,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,177,177,130,130,127,127,80,88,152,152,122,132,112,118,125,125,191,197,161,161,76,76,204,204,135,135,115,117,83,83,134,134,186,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,171,171,112,130,127,127,82,88,152,152,132,132,112,118,125,125,190,194,161,161,76,76,204,204,135,135,99,117,83,83,134,134,192,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,171,171,130,130,127,127,72,88,152,152,130,132,112,112,125,125,191,191,161,161,76,76,204,204,135,135,115,117,83,83,134,134,190,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,179,179,130,130,127,127,72,90,152,152,132,132,112,118,123,125,187,187,161,161,76,76,204,204,135,135,105,115,83,83,134,134,186,192
CAH,Cannon_Hill,,-12.376,132.948,1998,1998,30,zonatus,,,female,179,179,130,130,127,127,82,86,152,152,128,132,110,112,125,125,185,191,161,161,76,76,204,204,135,135,115,117,83,83,134,134,0,0
