Population,Latitude,Longitude,Year_start,Year_end,Sex ,Cross_Line,Line,Desiccation_resistance
Innisfail,-17.500,145.7,2000,2000,female,Line,13,19.5
Innisfail,-17.500,145.7,2000,2000,female,Line,8,15.5
Innisfail,-17.500,145.7,2000,2000,female,Line,8,21.5
Innisfail,-17.500,145.7,2000,2000,female,Line,8,20.5
Innisfail,-17.500,145.7,2000,2000,female,Line,13,17.5
Innisfail,-17.500,145.7,2000,2000,female,Line,13,20.5
Innisfail,-17.500,145.7,2000,2000,female,Line,13,10.5
Innisfail,-17.500,145.7,2000,2000,female,Cross,69,15.5
Innisfail,-17.500,145.7,2000,2000,female,Cross,69,17.5
Innisfail,-17.500,145.7,2000,2000,female,Cross,69,16.5
Innisfail,-17.500,145.7,2000,2000,female,Cross,69,16.5
Innisfail,-17.500,145.7,2000,2000,female,Line,10,13.5
Innisfail,-17.500,145.7,2000,2000,female,Line,10,15.5
Innisfail,-17.500,145.7,2000,2000,female,Line,10,20.5
Innisfail,-17.500,145.7,2000,2000,female,Line,10,16.5
Innisfail,-17.500,145.7,2000,2000,male,Cross,67,13.5
Innisfail,-17.500,145.7,2000,2000,male,Cross,67,12.5
Innisfail,-17.500,145.7,2000,2000,male,Cross,67,15.5
Innisfail,-17.500,145.7,2000,2000,male,Cross,67,12.5
Innisfail,-17.500,145.7,2000,2000,male,Cross,69,6.5
Innisfail,-17.500,145.7,2000,2000,male,Cross,69,13.5
Innisfail,-17.500,145.7,2000,2000,male,Cross,69,13.5
Innisfail,-17.500,145.7,2000,2000,male,Cross,69,13.5
Innisfail,-17.500,145.7,2000,2000,male,Cross,71,15.5
Innisfail,-17.500,145.7,2000,2000,male,Cross,71,15.5
Innisfail,-17.500,145.7,2000,2000,male,Cross,71,17.5
Innisfail,-17.500,145.7,2000,2000,male,Cross,71,19.5
Innisfail,-17.500,145.7,2000,2000,male,Line,10,7.5
Innisfail,-17.500,145.7,2000,2000,male,Line,10,13.5
Innisfail,-17.500,145.7,2000,2000,male,Line,10,6.5
Innisfail,-17.500,145.7,2000,2000,male,Line,8,13.5
Innisfail,-17.500,145.7,2000,2000,male,Line,8,7.5
Innisfail,-17.500,145.7,2000,2000,male,Line,10,8.5
Innisfail,-17.500,145.7,2000,2000,male,Line,8,11.5
Innisfail,-17.500,145.7,2000,2000,male,Line,8,13.5
Innisfail,-17.500,145.7,2000,2000,male,Line,13,7.5
Innisfail,-17.500,145.7,2000,2000,male,Line,13,9.5
Innisfail,-17.500,145.7,2000,2000,male,Line,13,11.5
Innisfail,-17.500,145.7,2000,2000,male,Line,13,10.5
Bowen,-20.000,148.20,2000,2000,female,Cross,29,13.5
Bowen,-20.000,148.20,2000,2000,female,Cross,29,17.5
Bowen,-20.000,148.20,2000,2000,female,Cross,29,17.5
Bowen,-20.000,148.20,2000,2000,female,Cross,29,14.5
Bowen,-20.000,148.20,2000,2000,female,Cross,27,21.5
Bowen,-20.000,148.20,2000,2000,female,Cross,25,18.5
Bowen,-20.000,148.20,2000,2000,female,Cross,25,13.5
Bowen,-20.000,148.20,2000,2000,female,Cross,25,15.5
Bowen,-20.000,148.20,2000,2000,female,Cross,27,24.5
Bowen,-20.000,148.20,2000,2000,female,Cross,25,20.5
Bowen,-20.000,148.20,2000,2000,female,Cross,27,20.5
Bowen,-20.000,148.20,2000,2000,female,Cross,27,17.5
Bowen,-20.000,148.20,2000,2000,female,Line,16,15.5
Bowen,-20.000,148.20,2000,2000,female,Line,3,15.5
Bowen,-20.000,148.20,2000,2000,female,Line,3,13.5
Bowen,-20.000,148.20,2000,2000,female,Line,3,29.5
Bowen,-20.000,148.20,2000,2000,female,Line,3,16.5
Bowen,-20.000,148.20,2000,2000,female,Line,16,14.5
Bowen,-20.000,148.20,2000,2000,female,Line,16,13.5
Bowen,-20.000,148.20,2000,2000,female,Line,16,17.5
Bowen,-20.000,148.20,2000,2000,female,Line,3,15.5
Bowen,-20.000,148.20,2000,2000,female,Line,3,16.5
Bowen,-20.000,148.20,2000,2000,female,Line,3,14.5
Bowen,-20.000,148.20,2000,2000,female,Line,3,17.5
Bowen,-20.000,148.20,2000,2000,male,Line,3,14.5
Bowen,-20.000,148.20,2000,2000,male,Line,3,17.5
Bowen,-20.000,148.20,2000,2000,male,Line,3,12.5
Bowen,-20.000,148.20,2000,2000,male,Line,3,11.5
Bowen,-20.000,148.20,2000,2000,male,Cross,27,10.5
Bowen,-20.000,148.20,2000,2000,male,Cross,27,11.5
Bowen,-20.000,148.20,2000,2000,male,Cross,27,11.5
Bowen,-20.000,148.20,2000,2000,male,Cross,27,10.5
Bowen,-20.000,148.20,2000,2000,male,Cross,25,11.5
Bowen,-20.000,148.20,2000,2000,male,Cross,25,
Bowen,-20.000,148.20,2000,2000,male,Cross,25,10.5
Bowen,-20.000,148.20,2000,2000,male,Cross,25,10.5
Bowen,-20.000,148.20,2000,2000,male,Cross,29,11.5
Bowen,-20.000,148.20,2000,2000,male,Cross,29,11.5
Bowen,-20.000,148.20,2000,2000,male,Cross,29,15.5
Bowen,-20.000,148.20,2000,2000,male,Cross,29,11.5
Bowen,-20.000,148.20,2000,2000,male,Line,16,7.5
Bowen,-20.000,148.20,2000,2000,male,Line,16,10.5
Bowen,-20.000,148.20,2000,2000,male,Line,16,
Sarina,-21.367,149.28,2000,2000,female,Line,3,18.5
Sarina,-21.367,149.28,2000,2000,female,Line,3,16.5
Sarina,-21.367,149.28,2000,2000,female,Line,3,19.5
Sarina,-21.367,149.28,2000,2000,female,Line,3,8.5
Sarina,-21.367,149.28,2000,2000,female,Line,8,15.5
Sarina,-21.367,149.28,2000,2000,female,Line,8,12.5
Sarina,-21.367,149.28,2000,2000,female,Line,8,10.5
Sarina,-21.367,149.28,2000,2000,female,Line,8,13.5
Sarina,-21.367,149.28,2000,2000,female,Line,6,9.5
Sarina,-21.367,149.28,2000,2000,female,Line,6,15.5
Sarina,-21.367,149.28,2000,2000,female,Line,6,17.5
Sarina,-21.367,149.28,2000,2000,female,Line,6,12.5
Sarina,-21.367,149.28,2000,2000,male,Line,6,10.5
Sarina,-21.367,149.28,2000,2000,male,Line,6,9.5
Sarina,-21.367,149.28,2000,2000,male,Line,8,10.5
Sarina,-21.367,149.28,2000,2000,male,Line,6,12.5
Sarina,-21.367,149.28,2000,2000,male,Line,6,11.5
Sarina,-21.367,149.28,2000,2000,male,Line,8,11.5
Sarina,-21.367,149.28,2000,2000,male,Line,8,11.5
Sarina,-21.367,149.28,2000,2000,male,Line,8,10.5
Sarina,-21.367,149.28,2000,2000,male,Line,3,16.5
Sarina,-21.367,149.28,2000,2000,male,Line,3,13.5
Sarina,-21.367,149.28,2000,2000,male,Line,3,18.5
Sarina,-21.367,149.28,2000,2000,male,Line,3,13.5
Sarina,-21.370,149.28,2000,2000,female,Cross,77,9.5
Sarina,-21.370,149.28,2000,2000,female,Cross,77,12.5
Sarina,-21.370,149.28,2000,2000,female,Cross,77,12.5
Sarina,-21.370,149.28,2000,2000,female,Cross,77,16.5
Sarina,-21.370,149.28,2000,2000,female,Cross,75,23.5
Sarina,-21.370,149.28,2000,2000,female,Cross,75,18.5
Sarina,-21.370,149.28,2000,2000,female,Cross,75,16.5
Sarina,-21.370,149.28,2000,2000,female,Cross,75,16.5
Sarina,-21.370,149.28,2000,2000,female,Cross,75,21.5
Sarina,-21.370,149.28,2000,2000,female,Cross,73,21.5
Sarina,-21.370,149.28,2000,2000,female,Cross,73,17.5
Sarina,-21.370,149.28,2000,2000,female,Cross,73,19.5
Sarina,-21.370,149.28,2000,2000,female,Cross,73,21.5
Sarina,-21.370,149.28,2000,2000,female,Cross,73,13.5
Sarina,-21.370,149.28,2000,2000,female,Cross,73,13.5
Sarina,-21.370,149.28,2000,2000,male,Cross,77,8.5
Sarina,-21.370,149.28,2000,2000,male,Cross,77,10.5
Sarina,-21.370,149.28,2000,2000,male,Cross,77,6.5
Sarina,-21.370,149.28,2000,2000,male,Cross,77,12.5
Sarina,-21.370,149.28,2000,2000,male,Cross,75,13.5
Sarina,-21.370,149.28,2000,2000,male,Cross,75,13.5
Sarina,-21.370,149.28,2000,2000,male,Cross,73,11.5
Sarina,-21.370,149.28,2000,2000,male,Cross,73,13.5
Sarina,-21.370,149.28,2000,2000,male,Cross,73,10.5
Sarina,-21.370,149.28,2000,2000,male,Cross,73,14.5
Sarina,-21.370,149.28,2000,2000,male,Cross,73,13.5
Sarina,-21.370,149.28,2000,2000,male,Cross,73,10.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,11,15.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,11,13.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,11,12.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,11,16.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,4,14.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,4,23.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,4,21.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,4,18.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,24,16.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,24,11.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,24,15.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,24,14.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,3,15.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,3,16.5
