Population,Latitude,Longitude,Year_start,Year_end,Altitude_class,Altitude,Replicate,sex,Wing_area,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,1,male,2.04,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,2,male,1.99,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,3,male,2.02,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,4,male,1.87,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,5,male,2.11,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,6,male,2.05,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,7,male,2.13,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,8,male,2.07,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,9,male,2.01,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,10,male,2.40,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,1,female,2.26,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,2,female,2.10,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,3,female,2.25,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,4,female,2.35,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,5,female,2.29,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,6,female,2.31,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,7,female,2.34,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,8,female,2.26,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,9,female,2.34,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,10,female,2.28,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,1,male,2.01,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,2,male,2.13,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,3,male,2.13,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,4,male,1.96,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,5,male,1.90,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,6,male,2.09,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,7,male,2.10,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,8,male,2.16,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,9,male,2.04,,,,,,,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,10,male,2.04,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,1,female,2.30,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,2,female,2.05,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,3,female,2.28,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,4,female,2.21,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,5,female,2.34,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,6,female,2.20,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,7,female,2.31,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,8,female,2.34,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,9,female,2.23,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,10,female,2.32,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,1,male,2.07,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,2,male,2.13,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,3,male,1.99,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,4,male,2.08,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,5,male,1.97,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,6,male,2.07,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,7,male,2.11,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,8,male,2.11,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,9,male,1.97,,,,,,,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,10,male,2.45,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,female,2.36,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,female,2.08,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,female,2.30,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,female,2.26,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,5,female,2.32,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,6,female,2.37,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,7,female,2.27,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,8,female,2.36,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,9,female,2.33,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,10,female,2.34,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,male,1.96,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,male,2.10,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,male,2.08,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,male,2.13,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,5,male,2.07,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,6,male,2.12,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,7,male,2.05,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,8,male,2.07,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,9,male,2.00,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,10,male,2.33,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,1,female,2.43,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,2,female,2.09,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,3,female,2.43,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,4,female,2.45,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,5,female,2.37,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,6,female,2.32,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,7,female,2.32,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,8,female,2.48,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,9,female,2.41,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,10,female,2.37,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,1,male,2.05,,,,,,,,,,,
