Population,Latitude,Longitude,Year_start,Year_end,Altitude_class,Altitude,Run,Vial,Cold_recovery_time
Innisfail,-17.5,146.00,2002,2002,low,10,2,1,40
Innisfail,-17.5,146.00,2002,2002,low,10,2,1,40
Innisfail,-17.5,146.00,2002,2002,low,10,3,2,42
Innisfail,-17.5,146.00,2002,2002,low,10,3,2,42
Innisfail,-17.5,146.00,2002,2002,low,10,3,2,42
Innisfail,-17.5,146.00,2002,2002,low,10,4,1,36
Innisfail,-17.5,146.00,2002,2002,low,10,4,1,36
Innisfail,-17.5,146.00,2002,2002,low,10,4,1,36
Innisfail,-17.5,146.00,2002,2002,low,10,2,2,44
Innisfail,-17.5,146.00,2002,2002,low,10,2,2,44
Innisfail,-17.5,146.00,2002,2002,low,10,2,2,44
Innisfail,-17.5,146.00,2002,2002,low,10,3,1,46
Innisfail,-17.5,146.00,2002,2002,low,10,3,2,46
Innisfail,-17.5,146.00,2002,2002,low,10,3,2,46
Innisfail,-17.5,146.00,2002,2002,low,10,3,2,46
Innisfail,-17.5,146.00,2002,2002,low,10,1,2,64
Innisfail,-17.5,146.00,2002,2002,low,10,3,1,50
Innisfail,-17.5,146.00,2002,2002,low,10,3,1,50
Innisfail,-17.5,146.00,2002,2002,low,10,1,1,68
Innisfail,-17.5,146.00,2002,2002,low,10,2,1,51
Innisfail,-17.5,146.00,2002,2002,low,10,3,1,54
Innisfail,-17.5,146.00,2002,2002,low,10,3,1,54
Innisfail,-17.5,146.00,2002,2002,low,10,3,2,54
Innisfail,-17.5,146.00,2002,2002,low,10,2,2,53
Innisfail,-17.5,146.00,2002,2002,low,10,3,2,59
Innisfail,-17.5,146.00,2002,2002,low,10,1,1,75
Innisfail,-17.5,146.00,2002,2002,low,10,1,1,75
Innisfail,-17.5,146.00,2002,2002,low,10,4,2,50
Innisfail,-17.5,146.00,2002,2002,low,10,4,2,50
Innisfail,-17.5,146.00,2002,2002,low,10,4,2,52
Innisfail,-17.5,146.00,2002,2002,low,10,3,1,62
Innisfail,-17.5,146.00,2002,2002,low,10,1,1,78
Innisfail,-17.5,146.00,2002,2002,low,10,1,2,82
Innisfail,-17.5,146.00,2002,2002,low,10,2,2,69
