Region,Population,Latitude,Longitude,Year_start,Year_end,Number_of_females,Total_number_offspring,Number_of_offspring_per_female,Maximum_number_of_offspring_per_female
Northern,Innisfail,-17.52,146.17,2005,2005,3,62,20.7,42
Northern,Innisfail,-17.52,146.17,2005,2005,4,440,110.0,234
Northern,Innisfail,-17.52,146.17,2005,2005,3,108,36.0,75
Northern,Innisfail,-17.52,146.17,2005,2005,1,1,1.0,1
Northern,Innisfail,-17.52,146.17,2005,2005,3,58,19.3,35
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,2,195,97.5,155
Northern,Innisfail,-17.52,146.17,2005,2005,4,45,11.3,27
Northern,Innisfail,-17.52,146.17,2005,2005,3,237,79.0,117
Northern,Innisfail,-17.52,146.17,2005,2005,3,139,46.3,67
Northern,Innisfail,-17.52,146.17,2005,2005,1,75,75.0,75
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,4,312,78.0,141
Northern,Innisfail,-17.52,146.17,2005,2005,1,100,100.0,100
Northern,Innisfail,-17.52,146.17,2005,2005,4,250,62.5,109
Northern,Innisfail,-17.52,146.17,2005,2005,3,299,99.7,164
Northern,Innisfail,-17.52,146.17,2005,2005,5,314,62.8,132
Northern,Innisfail,-17.52,146.17,2005,2005,3,235,78.3,157
Northern,Innisfail,-17.52,146.17,2005,2005,4,118,29.5,61
Northern,Innisfail,-17.52,146.17,2005,2005,4,114,28.5,53
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,3,242,80.7,149
Northern,Innisfail,-17.52,146.17,2005,2005,2,27,13.5,24
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,4,180,45.0,94
Northern,Innisfail,-17.52,146.17,2005,2005,4,262,65.5,96
Northern,Innisfail,-17.52,146.17,2005,2005,2,110,55.0,97
Northern,Innisfail,-17.52,146.17,2005,2005,4,389,97.3,198
Northern,Innisfail,-17.52,146.17,2005,2005,3,101,33.7,48
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,4,358,89.5,185
Northern,Innisfail,-17.52,146.17,2005,2005,5,551,110.2,292
Northern,Innisfail,-17.52,146.17,2005,2005,4,227,56.8,143
Northern,Innisfail,-17.52,146.17,2005,2005,1,1,1.0,1
Northern,Innisfail,-17.52,146.17,2005,2005,1,9,9.0,9
Northern,Innisfail,-17.52,146.17,2005,2005,4,98,24.5,83
Northern,Innisfail,-17.52,146.17,2005,2005,4,36,9.0,24
Northern,Innisfail,-17.52,146.17,2005,2005,3,183,61.0,146
Northern,Innisfail,-17.52,146.17,2005,2005,2,148,74.0,141
Northern,Innisfail,-17.52,146.17,2005,2005,5,512,102.4,145
Northern,Innisfail,-17.52,146.17,2005,2005,3,37,12.3,27
Northern,Innisfail,-17.52,146.17,2005,2005,5,457,91.4,137
Northern,Innisfail,-17.52,146.17,2005,2005,4,307,76.8,173
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,2,13,6.5,10
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,2,285,142.5,157
Northern,Innisfail,-17.52,146.17,2005,2005,5,303,60.6,169
Northern,Innisfail,-17.52,146.17,2005,2005,3,399,133.0,227
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,5,359,71.8,130
Northern,Innisfail,-17.52,146.17,2005,2005,3,47,15.7,38
Northern,Innisfail,-17.52,146.17,2005,2005,3,336,112.0,133
Northern,Innisfail,-17.52,146.17,2005,2005,3,161,53.7,125
Northern,Innisfail,-17.52,146.17,2005,2005,5,409,81.8,187
Northern,Innisfail,-17.52,146.17,2005,2005,4,107,26.8,44
Northern,Innisfail,-17.52,146.17,2005,2005,5,167,33.4,43
Northern,Innisfail,-17.52,146.17,2005,2005,1,10,10.0,10
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,2,80,40.0,68
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,2,81,40.5,66
Northern,Innisfail,-17.52,146.17,2005,2005,4,213,53.3,150
Northern,Innisfail,-17.52,146.17,2005,2005,4,131,32.8,90
Northern,Innisfail,-17.52,146.17,2005,2005,2,144,72.0,117
Northern,Innisfail,-17.52,146.17,2005,2005,5,325,65.0,127
Northern,Innisfail,-17.52,146.17,2005,2005,2,128,64.0,100
Northern,Innisfail,-17.52,146.17,2005,2005,4,111,27.8,60
Northern,Innisfail,-17.52,146.17,2005,2005,1,41,41.0,41
Northern,Innisfail,-17.52,146.17,2005,2005,4,98,24.5,84
Northern,Innisfail,-17.52,146.17,2005,2005,5,265,53.0,173
Northern,Innisfail,-17.52,146.17,2005,2005,1,3,3.0,3
Northern,Innisfail,-17.52,146.17,2005,2005,3,80,26.7,75
Northern,Innisfail,-17.52,146.17,2005,2005,2,210,105.0,176
Northern,Innisfail,-17.52,146.17,2005,2005,4,99,24.8,51
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,333,66.6,180
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,369,123.0,191
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,324,162.0,314
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,200,50.0,197
