Population,Latitude,Longitude,Year_start,Year_end,Line,Replicate,Sex,Development_time
Maryborough,-25.55,152.69,2004,2004,24,2,male,259.08
Maryborough,-25.55,152.69,2004,2004,24,2,male,262.87
Maryborough,-25.55,152.69,2004,2004,24,3,male,235.03
Maryborough,-25.55,152.69,2004,2004,24,3,male,301.70
Maryborough,-25.55,152.69,2004,2004,26,1,male,241.42
Maryborough,-25.55,152.69,2004,2004,26,1,male,253.25
Maryborough,-25.55,152.69,2004,2004,26,1,male,259.08
Maryborough,-25.55,152.69,2004,2004,26,1,male,277.17
Maryborough,-25.55,152.69,2004,2004,26,2,male,306.82
Maryborough,-25.55,152.69,2004,2004,26,2,male,328.05
Maryborough,-25.55,152.69,2004,2004,26,2,male,328.05
Maryborough,-25.55,152.69,2004,2004,26,3,male,283.43
Maryborough,-25.55,152.69,2004,2004,26,3,male,288.42
Maryborough,-25.55,152.69,2004,2004,26,3,male,306.82
Maryborough,-25.55,152.69,2004,2004,26,3,male,352.70
Maryborough,-25.55,152.69,2004,2004,27,1,male,288.42
Maryborough,-25.55,152.69,2004,2004,27,2,male,241.42
Maryborough,-25.55,152.69,2004,2004,27,3,male,241.42
Maryborough,-25.55,152.69,2004,2004,27,3,male,247.47
Maryborough,-25.55,152.69,2004,2004,27,3,male,253.25
Maryborough,-25.55,152.69,2004,2004,27,3,male,262.87
Maryborough,-25.55,152.69,2004,2004,28,1,male,271.48
Maryborough,-25.55,152.69,2004,2004,28,1,male,283.43
Maryborough,-25.55,152.69,2004,2004,28,2,male,262.87
Maryborough,-25.55,152.69,2004,2004,28,2,male,271.48
Maryborough,-25.55,152.69,2004,2004,28,2,male,328.05
Maryborough,-25.55,152.69,2004,2004,28,3,male,253.25
Maryborough,-25.55,152.69,2004,2004,28,3,male,271.48
Maryborough,-25.55,152.69,2004,2004,28,3,male,328.05
Maryborough,-25.55,152.69,2004,2004,29,1,male,271.48
Maryborough,-25.55,152.69,2004,2004,29,1,male,352.70
Maryborough,-25.55,152.69,2004,2004,29,2,male,288.42
Maryborough,-25.55,152.69,2004,2004,29,2,male,288.42
Maryborough,-25.55,152.69,2004,2004,29,3,male,301.70
Maryborough,-25.55,152.69,2004,2004,30,1,male,216.65
Maryborough,-25.55,152.69,2004,2004,30,2,male,247.47
Maryborough,-25.55,152.69,2004,2004,30,3,male,235.03
Maryborough,-25.55,152.69,2004,2004,30,3,male,235.03
Brisbane,-27.61,153.30,2004,2004,1,1,female,241.42
Brisbane,-27.61,153.30,2004,2004,1,2,female,241.42
Brisbane,-27.61,153.30,2004,2004,1,2,female,247.47
Brisbane,-27.61,153.30,2004,2004,1,2,female,253.25
Brisbane,-27.61,153.30,2004,2004,2,1,female,259.08
Brisbane,-27.61,153.30,2004,2004,2,2,female,277.17
Brisbane,-27.61,153.30,2004,2004,2,2,female,277.17
Brisbane,-27.61,153.30,2004,2004,2,2,female,295.48
Brisbane,-27.61,153.30,2004,2004,2,3,female,253.25
Brisbane,-27.61,153.30,2004,2004,2,3,female,262.87
Brisbane,-27.61,153.30,2004,2004,2,3,female,262.87
Brisbane,-27.61,153.30,2004,2004,2,3,female,277.17
Brisbane,-27.61,153.30,2004,2004,3,1,female,241.42
Brisbane,-27.61,153.30,2004,2004,3,1,female,253.25
Brisbane,-27.61,153.30,2004,2004,3,2,female,259.08
Brisbane,-27.61,153.30,2004,2004,3,2,female,262.87
Brisbane,-27.61,153.30,2004,2004,3,2,female,271.48
Brisbane,-27.61,153.30,2004,2004,3,3,female,228.53
Brisbane,-27.61,153.30,2004,2004,3,3,female,253.25
Brisbane,-27.61,153.30,2004,2004,4,2,female,247.47
Brisbane,-27.61,153.30,2004,2004,5,1,female,253.25
Brisbane,-27.61,153.30,2004,2004,5,1,female,262.87
Brisbane,-27.61,153.30,2004,2004,5,1,female,271.48
Brisbane,-27.61,153.30,2004,2004,5,2,female,277.17
Brisbane,-27.61,153.30,2004,2004,5,2,female,301.70
Brisbane,-27.61,153.30,2004,2004,5,3,female,271.48
Brisbane,-27.61,153.30,2004,2004,5,3,female,277.17
Brisbane,-27.61,153.30,2004,2004,5,3,female,295.48
Brisbane,-27.61,153.30,2004,2004,7,1,female,247.47
Brisbane,-27.61,153.30,2004,2004,7,1,female,247.47
Brisbane,-27.61,153.30,2004,2004,7,1,female,247.47
Brisbane,-27.61,153.30,2004,2004,7,1,female,271.48
Brisbane,-27.61,153.30,2004,2004,7,1,female,277.17
Brisbane,-27.61,153.30,2004,2004,7,1,female,283.43
Brisbane,-27.61,153.30,2004,2004,7,2,female,259.08
Brisbane,-27.61,153.30,2004,2004,7,2,female,271.48
Brisbane,-27.61,153.30,2004,2004,7,3,female,247.47
Brisbane,-27.61,153.30,2004,2004,7,3,female,247.47
Brisbane,-27.61,153.30,2004,2004,7,3,female,253.25
Brisbane,-27.61,153.30,2004,2004,8,1,female,235.03
Brisbane,-27.61,153.30,2004,2004,8,1,female,235.03
Brisbane,-27.61,153.30,2004,2004,8,1,female,235.03
Brisbane,-27.61,153.30,2004,2004,8,2,female,228.53
Brisbane,-27.61,153.30,2004,2004,8,2,female,241.42
Brisbane,-27.61,153.30,2004,2004,8,3,female,259.08
Brisbane,-27.61,153.30,2004,2004,8,3,female,271.48
Brisbane,-27.61,153.30,2004,2004,9,1,female,253.25
Brisbane,-27.61,153.30,2004,2004,9,1,female,277.17
Brisbane,-27.61,153.30,2004,2004,9,2,female,241.42
Brisbane,-27.61,153.30,2004,2004,9,2,female,247.47
Brisbane,-27.61,153.30,2004,2004,9,3,female,241.42
Brisbane,-27.61,153.30,2004,2004,10,2,female,222.60
Brisbane,-27.61,153.30,2004,2004,10,2,female,228.53
Brisbane,-27.61,153.30,2004,2004,10,2,female,228.53
Brisbane,-27.61,153.30,2004,2004,10,2,female,241.42
Brisbane,-27.61,153.30,2004,2004,10,2,female,247.47
Brisbane,-27.61,153.30,2004,2004,10,2,female,247.47
Brisbane,-27.61,153.30,2004,2004,10,3,female,235.03
Brisbane,-27.61,153.30,2004,2004,10,3,female,235.03
Brisbane,-27.61,153.30,2004,2004,10,3,female,247.47
Brisbane,-27.61,153.30,2004,2004,11,1,female,210.77
Brisbane,-27.61,153.30,2004,2004,11,1,female,216.65
Brisbane,-27.61,153.30,2004,2004,11,1,female,222.60
Brisbane,-27.61,153.30,2004,2004,11,1,female,228.53
Brisbane,-27.61,153.30,2004,2004,11,1,female,228.53
Brisbane,-27.61,153.30,2004,2004,11,2,female,271.48
Brisbane,-27.61,153.30,2004,2004,12,1,female,222.60
Brisbane,-27.61,153.30,2004,2004,12,1,female,222.60
Brisbane,-27.61,153.30,2004,2004,12,1,female,241.42
Brisbane,-27.61,153.30,2004,2004,12,1,female,247.47
Brisbane,-27.61,153.30,2004,2004,12,2,female,262.87
Brisbane,-27.61,153.30,2004,2004,12,2,female,271.48
Brisbane,-27.61,153.30,2004,2004,12,3,female,259.08
Brisbane,-27.61,153.30,2004,2004,13,1,female,241.42
Brisbane,-27.61,153.30,2004,2004,13,1,female,277.17
Brisbane,-27.61,153.30,2004,2004,13,2,female,253.25
Brisbane,-27.61,153.30,2004,2004,13,2,female,253.25
Brisbane,-27.61,153.30,2004,2004,13,2,female,277.17
Brisbane,-27.61,153.30,2004,2004,13,3,female,222.60
Brisbane,-27.61,153.30,2004,2004,13,3,female,228.53
Brisbane,-27.61,153.30,2004,2004,13,3,female,235.03
Brisbane,-27.61,153.30,2004,2004,1,1,male,253.25
Brisbane,-27.61,153.30,2004,2004,1,2,male,253.25
Brisbane,-27.61,153.30,2004,2004,1,3,male,228.53
Brisbane,-27.61,153.30,2004,2004,1,3,male,247.47
Brisbane,-27.61,153.30,2004,2004,2,1,male,271.48
Brisbane,-27.61,153.30,2004,2004,2,1,male,288.42
Brisbane,-27.61,153.30,2004,2004,2,2,male,283.43
Brisbane,-27.61,153.30,2004,2004,2,3,male,295.48
Brisbane,-27.61,153.30,2004,2004,2,3,male,295.48
Brisbane,-27.61,153.30,2004,2004,3,1,male,271.48
Brisbane,-27.61,153.30,2004,2004,3,1,male,277.17
Brisbane,-27.61,153.30,2004,2004,3,1,male,288.42
Brisbane,-27.61,153.30,2004,2004,3,2,male,253.25
Brisbane,-27.61,153.30,2004,2004,3,2,male,259.08
Brisbane,-27.61,153.30,2004,2004,3,2,male,271.48
Brisbane,-27.61,153.30,2004,2004,3,3,male,247.47
Brisbane,-27.61,153.30,2004,2004,3,3,male,262.87
Brisbane,-27.61,153.30,2004,2004,4,1,male,277.17
Brisbane,-27.61,153.30,2004,2004,4,2,male,247.47
Brisbane,-27.61,153.30,2004,2004,4,3,male,241.42
Brisbane,-27.61,153.30,2004,2004,5,1,male,295.48
Brisbane,-27.61,153.30,2004,2004,5,2,male,277.17
Brisbane,-27.61,153.30,2004,2004,5,2,male,283.43
Brisbane,-27.61,153.30,2004,2004,5,2,male,295.48
Brisbane,-27.61,153.30,2004,2004,5,2,male,335.75
Brisbane,-27.61,153.30,2004,2004,5,3,male,277.17
Brisbane,-27.61,153.30,2004,2004,5,3,male,277.17
Brisbane,-27.61,153.30,2004,2004,5,3,male,283.43
Brisbane,-27.61,153.30,2004,2004,5,3,male,283.43
Brisbane,-27.61,153.30,2004,2004,5,3,male,312.87
Brisbane,-27.61,153.30,2004,2004,7,1,male,253.25
Brisbane,-27.61,153.30,2004,2004,7,1,male,271.48
Brisbane,-27.61,153.30,2004,2004,7,2,male,241.42
Brisbane,-27.61,153.30,2004,2004,7,2,male,271.48
Brisbane,-27.61,153.30,2004,2004,7,3,male,247.47
Brisbane,-27.61,153.30,2004,2004,7,3,male,253.25
Brisbane,-27.61,153.30,2004,2004,7,3,male,295.48
Brisbane,-27.61,153.30,2004,2004,8,2,male,247.47
Brisbane,-27.61,153.30,2004,2004,8,2,male,247.47
Brisbane,-27.61,153.30,2004,2004,8,3,male,271.48
Brisbane,-27.61,153.30,2004,2004,9,1,male,259.08
Brisbane,-27.61,153.30,2004,2004,9,2,male,241.42
Brisbane,-27.61,153.30,2004,2004,9,3,male,241.42
Brisbane,-27.61,153.30,2004,2004,9,3,male,259.08
Brisbane,-27.61,153.30,2004,2004,10,1,male,259.08
Brisbane,-27.61,153.30,2004,2004,10,3,male,241.42
Brisbane,-27.61,153.30,2004,2004,10,3,male,253.25
Brisbane,-27.61,153.30,2004,2004,11,2,male,271.48
Brisbane,-27.61,153.30,2004,2004,12,1,male,247.47
Brisbane,-27.61,153.30,2004,2004,12,1,male,271.48
Brisbane,-27.61,153.30,2004,2004,12,2,male,271.48
Brisbane,-27.61,153.30,2004,2004,12,2,male,271.48
Brisbane,-27.61,153.30,2004,2004,12,2,male,271.48
Brisbane,-27.61,153.30,2004,2004,12,3,male,253.25
Brisbane,-27.61,153.30,2004,2004,12,3,male,253.25
Brisbane,-27.61,153.30,2004,2004,12,3,male,277.17
Brisbane,-27.61,153.30,2004,2004,13,1,male,259.08
Brisbane,-27.61,153.30,2004,2004,13,1,male,288.42
Brisbane,-27.61,153.30,2004,2004,13,2,male,271.48
Brisbane,-27.61,153.30,2004,2004,13,3,male,235.03
Brisbane,-27.61,153.30,2004,2004,13,3,male,253.25
Brisbane,-27.61,153.30,2004,2004,13,3,male,253.25
Kingscliff,-28.26,153.58,2004,2004,1,1,female,259.08
Kingscliff,-28.26,153.58,2004,2004,1,1,female,259.08
Kingscliff,-28.26,153.58,2004,2004,1,1,female,312.87
Kingscliff,-28.26,153.58,2004,2004,1,2,female,247.47
Kingscliff,-28.26,153.58,2004,2004,1,2,female,295.48
Kingscliff,-28.26,153.58,2004,2004,1,3,female,277.17
Kingscliff,-28.26,153.58,2004,2004,1,3,female,277.17
Kingscliff,-28.26,153.58,2004,2004,3,1,female,241.42
Kingscliff,-28.26,153.58,2004,2004,3,2,female,241.42
Kingscliff,-28.26,153.58,2004,2004,3,2,female,283.43
Kingscliff,-28.26,153.58,2004,2004,3,3,female,259.08
Kingscliff,-28.26,153.58,2004,2004,4,1,female,222.60
Kingscliff,-28.26,153.58,2004,2004,4,1,female,222.60
Kingscliff,-28.26,153.58,2004,2004,4,1,female,235.03
Kingscliff,-28.26,153.58,2004,2004,4,1,female,241.42
