Region,Population,Latitude,Longitude,Year_start,Year_end,Productivity,Wing_centroid_size
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.38
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.48
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.47
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.46
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.55
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.43
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.37
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.48
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.45
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.40
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.41
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.43
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.52
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.43
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.48
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.45
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.46
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.48
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.45
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.40
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.46
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.49
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.51
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.42
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.46
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.53
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.48
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.42
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.47
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.39
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.38
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.50
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.44
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.45
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.49
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.40
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.53
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.48
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.39
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.34
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.44
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.38
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.39
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.44
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.41
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.43
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.44
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.44
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.45
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.47
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.39
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.48
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.44
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,High,1.44
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.79
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.70
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.66
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.65
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.54
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.54
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.62
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.58
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.60
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.52
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.51
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.42
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.50
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.68
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.54
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.54
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.55
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.50
Southern,Sorell,-42.77,147.57,2005,2005,Low,
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.47
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.56
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.57
Southern,Sorell,-42.77,147.57,2005,2005,Low,
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.62
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.56
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.47
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.67
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.51
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.49
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.75
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.62
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.67
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.57
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.53
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.52
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.68
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.50
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.43
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.64
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.45
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.46
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.42
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.52
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.50
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.50
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.50
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.52
Southern,Sorell,-42.77,147.57,2005,2005,Low,1.45
Southern,Sorell,-42.77,147.57,2005,2005,High,1.61
Southern,Sorell,-42.77,147.57,2005,2005,High,1.53
Southern,Sorell,-42.77,147.57,2005,2005,High,1.55
Southern,Sorell,-42.77,147.57,2005,2005,High,1.61
Southern,Sorell,-42.77,147.57,2005,2005,High,1.60
Southern,Sorell,-42.77,147.57,2005,2005,High,1.48
Southern,Sorell,-42.77,147.57,2005,2005,High,1.60
Southern,Sorell,-42.77,147.57,2005,2005,High,1.47
Southern,Sorell,-42.77,147.57,2005,2005,High,1.48
Southern,Sorell,-42.77,147.57,2005,2005,High,1.55
Southern,Sorell,-42.77,147.57,2005,2005,High,1.55
Southern,Sorell,-42.77,147.57,2005,2005,High,1.51
Southern,Sorell,-42.77,147.57,2005,2005,High,1.52
Southern,Sorell,-42.77,147.57,2005,2005,High,1.54
Southern,Sorell,-42.77,147.57,2005,2005,High,1.52
Southern,Sorell,-42.77,147.57,2005,2005,High,1.49
Southern,Sorell,-42.77,147.57,2005,2005,High,1.51
Southern,Sorell,-42.77,147.57,2005,2005,High,1.54
Southern,Sorell,-42.77,147.57,2005,2005,High,1.45
Southern,Sorell,-42.77,147.57,2005,2005,High,1.64
Southern,Sorell,-42.77,147.57,2005,2005,High,1.53
Southern,Sorell,-42.77,147.57,2005,2005,High,1.57
Southern,Sorell,-42.77,147.57,2005,2005,High,1.61
Southern,Sorell,-42.77,147.57,2005,2005,High,1.60
Southern,Sorell,-42.77,147.57,2005,2005,High,1.70
Southern,Sorell,-42.77,147.57,2005,2005,High,1.64
Southern,Sorell,-42.77,147.57,2005,2005,High,
Southern,Sorell,-42.77,147.57,2005,2005,High,1.54
Southern,Sorell,-42.77,147.57,2005,2005,High,1.51
Southern,Sorell,-42.77,147.57,2005,2005,High,1.49
Southern,Sorell,-42.77,147.57,2005,2005,High,
Southern,Sorell,-42.77,147.57,2005,2005,High,1.56
Southern,Sorell,-42.77,147.57,2005,2005,High,1.43
Southern,Sorell,-42.77,147.57,2005,2005,High,1.52
Southern,Sorell,-42.77,147.57,2005,2005,High,1.51
Southern,Sorell,-42.77,147.57,2005,2005,High,1.37
Southern,Sorell,-42.77,147.57,2005,2005,High,1.57
Southern,Sorell,-42.77,147.57,2005,2005,High,1.53
Southern,Sorell,-42.77,147.57,2005,2005,High,1.56
Southern,Sorell,-42.77,147.57,2005,2005,High,1.45
Southern,Sorell,-42.77,147.57,2005,2005,High,1.44
Southern,Sorell,-42.77,147.57,2005,2005,High,1.57
Southern,Sorell,-42.77,147.57,2005,2005,High,1.46
Southern,Sorell,-42.77,147.57,2005,2005,High,1.58
Southern,Sorell,-42.77,147.57,2005,2005,High,
Southern,Sorell,-42.77,147.57,2005,2005,High,1.55
Southern,Sorell,-42.77,147.57,2005,2005,High,1.42
Southern,Sorell,-42.77,147.57,2005,2005,High,1.46
