Population,Latitude,Longitude,Year_start,Year_end,10/06/2000,13/06/2000,16/06/2000,20/06/2000,23/06/2000,27/06/2000,30/06/2000,4/07/2000,7/07/2000,11/07/2000,14/07/2000,18/07/2000,21/07/2000,24/07/2000,27/07/2000,31/07/2000,3/08/2000,7/08/2000,10/08/2000,14/08/2000,17/08/2000,21/08/2000,24/08/2000,28/08/2000,31/08/2000,4/09/2000,7/09/2000,11/09/2000,14/09/2000,18/09/2000,21/09/2000,25/09/2000,28/09/2000,2/10/2000,5/10/2000,9/10/2000,12/10/2000,16/10/2000,19/10/2000,24/10/2000,26/10/2000,31/10/2000,2/11/2000,6/11/2000,9/11/2000,13/11/2000,16/11/2000,20/11/2000,23/11/2000,28/11/2000,1/12/2000,Total
Coffs_Harbour,-30.27,153.12,2000,2000,9,1,0,15,0,29,19,0,85,1,4,27,0,1,0,1,7,17,19,10,7,8,10,8,14,5,22,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,343
Coffs_Harbour,-30.27,153.12,2000,2000,9,1,0,1,2,3,3,48,0,2,0,2,0,1,0,0,5,2,0,5,6,13,0,3,4,4,4,4,11,,29,29,29,12,51,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315
Coffs_Harbour,-30.27,153.12,2000,2000,7,0,8,10,2,30,3,38,14,10,1,1,2,5,0,1,12,7,60,63,3,27,0,1,6,6,3,7,19,48,42,28,31,21,24,30,9,0,26,17,0,0,0,0,0,0,0,,,,,622
Coffs_Harbour,-30.27,153.12,2000,2000,6,3,0,5,1,17,2,60,8,18,0,16,0,3,0,5,2,20,32,14,0,27,1,2,5,5,1,0,7,6,12,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294
Melbourne,-37.75,144.96,2000,2000,7,5,0,7,20,17,23,13,6,3,1,7,0,17,0,1,9,2,7,10,1,16,2,4,1,3,1,12,15,40,121,39,64,51,29,45,0,7,20,44,31,0,0,0,0,,,,,,,701
Melbourne,-37.75,144.96,2000,2000,38,1,0,3,2,5,1,1,1,32,2,7,0,1,1,3,1,5,11,21,3,11,7,0,2,5,0,4,0,25,79,19,25,19,17,16,4,0,0,0,0,0,0,,,,,,,,,372
Melbourne,-37.75,144.96,2000,2000,13,6,0,38,6,39,8,11,34,6,5,7,1,9,0,3,7,4,8,6,4,12,0,4,5,9,3,28,24,43,72,107,73,49,52,75,26,4,64,87,101,44,77,0,0,0,0,0,,,,1174
Melbourne,-37.75,144.96,2000,2000,18,5,0,6,0,8,11,3,22,2,2,4,1,1,0,2,17,13,39,21,15,16,0,7,0,10,10,13,12,53,66,34,53,30,35,13,0,,,,,,,,,,,,,,,542
Melbourne,-37.75,144.96,2000,2000,13,1,0,3,6,40,6,27,4,18,2,5,0,27,1,10,24,18,40,50,3,29,3,4,1,5,3,5,5,70,61,42,31,32,22,0,0,0,,,,,,,,,,,,,,611
Melbourne,-37.75,144.96,2000,2000,6,1,0,7,4,29,11,12,57,5,2,7,2,15,0,1,7,9,4,14,2,9,0,2,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217
Melbourne,-37.75,144.96,2000,2000,31,4,0,59,17,87,36,43,9,1,4,9,3,0,6,3,1,5,77,47,12,16,2,10,0,10,14,26,15,86,92,26,31,41,49,21,9,2,0,23,0,0,,,,,,,,,,927
Melbourne,-37.75,144.96,2000,2000,14,7,0,1,6,81,1,38,45,9,2,19,1,9,5,11,8,19,49,31,4,16,2,2,0,1,14,29,18,61,29,38,32,17,20,32,10,16,14,0,0,,,,,,,,,,,711
Melbourne,-37.75,144.96,2000,2000,13,27,0,36,2,43,55,13,18,17,8,5,3,30,1,5,37,6,38,10,2,25,2,3,0,9,6,13,32,41,188,46,97,46,63,61,21,10,0,97,64,44,85,68,29,38,0,0,0,0,0,1457
