Species,Population,Latitude,Longitude,Year_start,Year_end,Fly_number,Sex,Thorax_length,l2,3p,l3d,lpd,l3,w1,w2,w3,Wing_loading
D._buzzatii,Binjour,-25.52,151.45,1994,1994,86,male,0.841,1.602,0.499,1.397,1.894,1.891,0.807,1.102,0.972,2.249
D._buzzatii,Binjour,-25.52,151.45,1994,1994,87,male,0.937,1.582,0.541,1.344,1.885,1.883,0.857,1.142,0.984,2.009
D._buzzatii,Binjour,-25.52,151.45,1994,1994,88,male,1.046,1.595,0.527,1.407,1.934,1.933,0.889,1.225,0.981,1.848
D._buzzatii,Binjour,-25.52,151.45,1994,1994,89,male,0.962,1.566,0.591,1.293,1.885,1.881,0.813,1.108,0.917,1.956
D._buzzatii,Binjour,-25.52,151.45,1994,1994,90,male,0.977,1.692,0.589,1.373,1.962,1.962,0.852,1.205,0.978,2.008
D._buzzatii,Binjour,-25.52,151.45,1994,1994,91,male,1.007,1.616,0.533,1.389,1.921,1.918,0.853,1.164,0.978,1.905
D._buzzatii,Binjour,-25.52,151.45,1994,1994,92,male,1.048,1.667,0.601,1.345,1.947,1.946,0.855,1.175,0.991,1.858
D._buzzatii,Binjour,-25.52,151.45,1994,1994,93,male,0.950,1.713,0.616,1.425,2.056,2.055,0.869,1.204,0.996,2.162
D._buzzatii,Binjour,-25.52,151.45,1994,1994,94,male,1.039,1.608,0.523,1.367,1.890,1.887,0.899,1.203,1.010,1.817
D._buzzatii,Binjour,-25.52,151.45,1994,1994,95,male,0.964,1.593,0.531,1.359,1.890,1.889,0.849,1.171,0.960,1.959
D._buzzatii,Binjour,-25.52,151.45,1994,1994,96,male,0.999,1.559,0.504,1.352,1.856,1.854,0.812,1.093,0.954,1.856
D._buzzatii,Binjour,-25.52,151.45,1994,1994,97,male,0.822,1.491,0.530,1.201,1.731,1.726,0.748,1.051,0.881,2.100
D._buzzatii,Binjour,-25.52,151.45,1994,1994,98,male,0.993,1.550,0.464,1.390,1.854,1.853,0.801,1.120,0.933,1.865
D._buzzatii,Binjour,-25.52,151.45,1994,1994,99,male,0.951,1.463,0.499,1.317,1.816,1.812,0.823,1.140,0.885,1.906
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,0,female,1.021,1.690,0.519,1.453,1.971,1.971,0.855,1.180,1.014,1.929
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,1,female,1.098,1.793,0.601,1.522,2.123,2.123,0.917,1.269,1.039,1.933
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,2,female,0.923,1.378,0.416,1.276,1.692,1.692,0.820,1.090,0.907,1.832
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,3,female,0.994,1.571,0.507,1.370,1.877,1.877,0.847,1.163,0.948,1.888
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,4,female,1.124,1.861,0.603,1.533,2.136,2.134,0.916,1.305,1.070,1.899
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,5,female,0.945,1.530,0.512,1.368,1.879,1.877,0.823,1.132,0.923,1.986
