Population,Latitude,Longitude,Year_start,Year_end,Sex ,Cross_Line,Line,Starvation_resistance
Sarina,-21.367,149.28,2000,2000,female,Line,73,36
Sarina,-21.367,149.28,2000,2000,female,Line,73,48
Sarina,-21.367,149.28,2000,2000,female,Line,75,90
Sarina,-21.367,149.28,2000,2000,female,Line,75,42
Sarina,-21.367,149.28,2000,2000,female,Line,75,42
Sarina,-21.367,149.28,2000,2000,female,Line,75,42
Sarina,-21.367,149.28,2000,2000,female,Line,77,42
Sarina,-21.367,149.28,2000,2000,female,Line,77,36
Sarina,-21.367,149.28,2000,2000,female,Line,77,36
Sarina,-21.367,149.28,2000,2000,female,Line,77,54
Sarina,-21.367,149.28,2000,2000,female,Line,77,42
Sarina,-21.367,149.28,2000,2000,male,Line,3,60
Sarina,-21.367,149.28,2000,2000,male,Line,3,48
Sarina,-21.367,149.28,2000,2000,male,Line,3,54
Sarina,-21.367,149.28,2000,2000,male,Line,3,36
Sarina,-21.367,149.28,2000,2000,male,Line,6,48
Sarina,-21.367,149.28,2000,2000,male,Line,6,48
Sarina,-21.367,149.28,2000,2000,male,Line,6,48
Sarina,-21.367,149.28,2000,2000,male,Line,6,42
Sarina,-21.367,149.28,2000,2000,male,Line,8,42
Sarina,-21.367,149.28,2000,2000,male,Line,8,42
Sarina,-21.367,149.28,2000,2000,male,Line,8,54
Sarina,-21.367,149.28,2000,2000,male,Line,8,42
Sarina,-21.367,149.28,2000,2000,male,Line,30,36
Sarina,-21.367,149.28,2000,2000,male,Line,30,36
Sarina,-21.367,149.28,2000,2000,male,Line,30,42
Sarina,-21.367,149.28,2000,2000,male,Line,30,48
Sarina,-21.367,149.28,2000,2000,male,Line,73,42
Sarina,-21.367,149.28,2000,2000,male,Line,73,60
Sarina,-21.367,149.28,2000,2000,male,Line,73,54
Sarina,-21.367,149.28,2000,2000,male,Line,73,54
Sarina,-21.367,149.28,2000,2000,male,Line,75,54
Sarina,-21.367,149.28,2000,2000,male,Line,75,48
Sarina,-21.367,149.28,2000,2000,male,Line,75,60
Sarina,-21.367,149.28,2000,2000,male,Line,75,48
Sarina,-21.367,149.28,2000,2000,male,Line,77,48
Sarina,-21.367,149.28,2000,2000,male,Line,77,42
Sarina,-21.367,149.28,2000,2000,male,Line,77,42
Rockhampton,-23.400,150.48,2000,2000,female,Cross,22,48
Rockhampton,-23.400,150.48,2000,2000,female,Cross,22,36
Rockhampton,-23.400,150.48,2000,2000,female,Cross,22,42
Rockhampton,-23.400,150.48,2000,2000,female,Cross,22,36
Rockhampton,-23.400,150.48,2000,2000,female,Cross,24,30
Rockhampton,-23.400,150.48,2000,2000,female,Cross,24,36
Rockhampton,-23.400,150.48,2000,2000,female,Cross,24,42
Rockhampton,-23.400,150.48,2000,2000,female,Cross,24,48
Rockhampton,-23.400,150.48,2000,2000,male,Cross,22,42
Rockhampton,-23.400,150.48,2000,2000,male,Cross,22,42
Rockhampton,-23.400,150.48,2000,2000,male,Cross,22,30
Rockhampton,-23.400,150.48,2000,2000,male,Cross,22,30
Rockhampton,-23.400,150.48,2000,2000,male,Cross,24,48
Rockhampton,-23.400,150.48,2000,2000,male,Cross,24,42
Rockhampton,-23.400,150.48,2000,2000,male,Cross,24,48
Rockhampton,-23.400,150.48,2000,2000,male,Cross,24,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,2,30
Rockhampton,-23.400,150.48,2000,2000,female,Line,2,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,2,30
Rockhampton,-23.400,150.48,2000,2000,female,Line,2,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,3,48
Rockhampton,-23.400,150.48,2000,2000,female,Line,3,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,3,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,3,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,4,54
Rockhampton,-23.400,150.48,2000,2000,female,Line,4,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,4,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,4,68
Rockhampton,-23.400,150.48,2000,2000,female,Line,8,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,8,60
Rockhampton,-23.400,150.48,2000,2000,female,Line,8,54
Rockhampton,-23.400,150.48,2000,2000,female,Line,8,54
Rockhampton,-23.400,150.48,2000,2000,female,Line,11,60
Rockhampton,-23.400,150.48,2000,2000,female,Line,11,54
Rockhampton,-23.400,150.48,2000,2000,female,Line,11,90
Rockhampton,-23.400,150.48,2000,2000,female,Line,11,
Rockhampton,-23.400,150.48,2000,2000,female,Line,14,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,14,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,14,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,14,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,26,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,26,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,26,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,26,30
Rockhampton,-23.400,150.48,2000,2000,female,Line,28,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,28,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,28,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,28,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,30,54
Rockhampton,-23.400,150.48,2000,2000,female,Line,30,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,30,54
Rockhampton,-23.400,150.48,2000,2000,female,Line,30,48
Rockhampton,-23.400,150.48,2000,2000,male,Line,2,36
Rockhampton,-23.400,150.48,2000,2000,male,Line,2,36
Rockhampton,-23.400,150.48,2000,2000,male,Line,2,48
Rockhampton,-23.400,150.48,2000,2000,male,Line,2,42
Rockhampton,-23.400,150.48,2000,2000,male,Line,3,30
Rockhampton,-23.400,150.48,2000,2000,male,Line,3,30
Rockhampton,-23.400,150.48,2000,2000,male,Line,3,42
Rockhampton,-23.400,150.48,2000,2000,male,Line,3,30
Rockhampton,-23.400,150.48,2000,2000,male,Line,4,36
Rockhampton,-23.400,150.48,2000,2000,male,Line,4,42
Rockhampton,-23.400,150.48,2000,2000,male,Line,4,36
Rockhampton,-23.400,150.48,2000,2000,male,Line,4,42
Rockhampton,-23.400,150.48,2000,2000,male,Line,8,36
Rockhampton,-23.400,150.48,2000,2000,male,Line,8,36
Rockhampton,-23.400,150.48,2000,2000,male,Line,8,42
Rockhampton,-23.400,150.48,2000,2000,male,Line,8,42
Rockhampton,-23.400,150.48,2000,2000,male,Line,11,48
Rockhampton,-23.400,150.48,2000,2000,male,Line,11,48
Rockhampton,-23.400,150.48,2000,2000,male,Line,11,42
Rockhampton,-23.400,150.48,2000,2000,male,Line,11,42
Rockhampton,-23.400,150.48,2000,2000,male,Line,14,30
Rockhampton,-23.400,150.48,2000,2000,male,Line,14,30
Rockhampton,-23.400,150.48,2000,2000,male,Line,14,42
Rockhampton,-23.400,150.48,2000,2000,male,Line,14,30
Rockhampton,-23.400,150.48,2000,2000,male,Line,26,30
Rockhampton,-23.400,150.48,2000,2000,male,Line,26,36
Rockhampton,-23.400,150.48,2000,2000,male,Line,26,48
Rockhampton,-23.400,150.48,2000,2000,male,Line,26,42
Gladstone,-23.883,151.26,2000,2000,female,Cross,65,42
Gladstone,-23.883,151.26,2000,2000,female,Cross,65,48
Gladstone,-23.883,151.26,2000,2000,female,Cross,65,42
Gladstone,-23.883,151.26,2000,2000,female,Cross,65,48
Gladstone,-23.883,151.26,2000,2000,male,Cross,65,42
Gladstone,-23.883,151.26,2000,2000,male,Cross,65,36
Gladstone,-23.883,151.26,2000,2000,male,Cross,65,42
Gladstone,-23.883,151.26,2000,2000,male,Cross,65,30
Gladstone,-23.883,151.26,2000,2000,female,Line,1,54
Gladstone,-23.883,151.26,2000,2000,female,Line,1,
Gladstone,-23.883,151.26,2000,2000,female,Line,1,68
Gladstone,-23.883,151.26,2000,2000,female,Line,1,54
Gladstone,-23.883,151.26,2000,2000,female,Line,2,36
Gladstone,-23.883,151.26,2000,2000,female,Line,2,48
Gladstone,-23.883,151.26,2000,2000,female,Line,2,36
Gladstone,-23.883,151.26,2000,2000,female,Line,2,48
Gladstone,-23.883,151.26,2000,2000,female,Line,3,42
Gladstone,-23.883,151.26,2000,2000,female,Line,3,60
Gladstone,-23.883,151.26,2000,2000,female,Line,3,36
Gladstone,-23.883,151.26,2000,2000,female,Line,3,42
Gladstone,-23.883,151.26,2000,2000,male,Line,1,42
Gladstone,-23.883,151.26,2000,2000,male,Line,1,48
Gladstone,-23.883,151.26,2000,2000,male,Line,1,36
Gladstone,-23.883,151.26,2000,2000,male,Line,1,48
Gladstone,-23.883,151.26,2000,2000,male,Line,2,36
Gladstone,-23.883,151.26,2000,2000,male,Line,2,54
Gladstone,-23.883,151.26,2000,2000,male,Line,2,42
Gladstone,-23.883,151.26,2000,2000,male,Line,2,42
Gladstone,-23.883,151.26,2000,2000,male,Line,3,42
Gladstone,-23.883,151.26,2000,2000,male,Line,3,30
Gladstone,-23.883,151.26,2000,2000,male,Line,3,42
Gladstone,-23.883,151.26,2000,2000,male,Line,3,36
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,2,30
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,2,42
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,2,36
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,2,42
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,12,42
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,12,60
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,12,42
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,12,60
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,17,30
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,17,48
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,17,48
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,17,42
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,46,42
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,46,54
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,46,48
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,46,
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,48,54
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,48,72
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,48,54
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,48,54
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,2,42
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,2,42
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,2,36
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,2,36
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,12,24
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,12,42
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,12,
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,12,36
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,17,54
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,17,42
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,17,42
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,17,54
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,46,30
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,46,36
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,46,36
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,46,42
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,48,54
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,48,54
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,48,48
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,48,60
Maryborough,-25.367,152.69,2000,2000,female,Line,1,42
Maryborough,-25.367,152.69,2000,2000,female,Line,1,42
Maryborough,-25.367,152.69,2000,2000,female,Line,1,54
Maryborough,-25.367,152.69,2000,2000,female,Line,1,42
Maryborough,-25.367,152.69,2000,2000,female,Line,1,42
Maryborough,-25.367,152.69,2000,2000,female,Line,1,90
Maryborough,-25.367,152.69,2000,2000,female,Line,1,42
Maryborough,-25.367,152.69,2000,2000,female,Line,1,60
Maryborough,-25.367,152.69,2000,2000,female,Line,1,42
Maryborough,-25.367,152.69,2000,2000,female,Line,1,54
Maryborough,-25.367,152.69,2000,2000,female,Line,1,48
Maryborough,-25.367,152.69,2000,2000,female,Line,1,48
Maryborough,-25.367,152.69,2000,2000,female,Line,1,54
Maryborough,-25.367,152.69,2000,2000,female,Line,1,72
Maryborough,-25.367,152.69,2000,2000,female,Line,1,54
Maryborough,-25.367,152.69,2000,2000,female,Line,1,72
Maryborough,-25.367,152.69,2000,2000,female,Line,2,42
Maryborough,-25.367,152.69,2000,2000,female,Line,2,42
Maryborough,-25.367,152.69,2000,2000,female,Line,2,36
Maryborough,-25.367,152.69,2000,2000,female,Line,2,54
Maryborough,-25.367,152.69,2000,2000,female,Line,2,48
Maryborough,-25.367,152.69,2000,2000,female,Line,2,48
Maryborough,-25.367,152.69,2000,2000,female,Line,2,48
Maryborough,-25.367,152.69,2000,2000,female,Line,2,48
Maryborough,-25.367,152.69,2000,2000,female,Line,2,42
Maryborough,-25.367,152.69,2000,2000,female,Line,2,60
Maryborough,-25.367,152.69,2000,2000,female,Line,2,54
Maryborough,-25.367,152.69,2000,2000,female,Line,2,36
Maryborough,-25.367,152.69,2000,2000,female,Line,3,54
Maryborough,-25.367,152.69,2000,2000,female,Line,3,36
Maryborough,-25.367,152.69,2000,2000,female,Line,3,60
Maryborough,-25.367,152.69,2000,2000,female,Line,3,36
Maryborough,-25.367,152.69,2000,2000,female,Line,6,42
Maryborough,-25.367,152.69,2000,2000,female,Line,6,30
Maryborough,-25.367,152.69,2000,2000,female,Line,6,36
Maryborough,-25.367,152.69,2000,2000,female,Line,6,36
Maryborough,-25.367,152.69,2000,2000,female,Line,10,54
Maryborough,-25.367,152.69,2000,2000,female,Line,10,42
Maryborough,-25.367,152.69,2000,2000,female,Line,10,54
Maryborough,-25.367,152.69,2000,2000,female,Line,10,72
Maryborough,-25.367,152.69,2000,2000,female,Line,19,42
Maryborough,-25.367,152.69,2000,2000,female,Line,19,54
Maryborough,-25.367,152.69,2000,2000,female,Line,19,68
Maryborough,-25.367,152.69,2000,2000,female,Line,19,54
Maryborough,-25.367,152.69,2000,2000,female,Line,21,42
Maryborough,-25.367,152.69,2000,2000,female,Line,21,54
Maryborough,-25.367,152.69,2000,2000,female,Line,21,
Maryborough,-25.367,152.69,2000,2000,female,Line,21,54
Maryborough,-25.367,152.69,2000,2000,female,Line,23,60
Maryborough,-25.367,152.69,2000,2000,female,Line,23,54
Maryborough,-25.367,152.69,2000,2000,female,Line,23,54
Maryborough,-25.367,152.69,2000,2000,female,Line,23,60
Maryborough,-25.367,152.69,2000,2000,female,Line,43,68
Maryborough,-25.367,152.69,2000,2000,female,Line,43,36
Maryborough,-25.367,152.69,2000,2000,female,Line,43,36
Maryborough,-25.367,152.69,2000,2000,female,Line,43,42
Maryborough,-25.367,152.69,2000,2000,female,Line,45,54
Maryborough,-25.367,152.69,2000,2000,female,Line,45,48
