Population,Latitude,Longitude,Year_start,Year_end,Run,Treatment,Heat_knockdown_time
Mackay,-21.300,149.15,2001,2001,3,winter,5.44
Mackay,-21.300,149.15,2001,2001,6,constant,5.67
Mackay,-21.300,149.15,2001,2001,7,winter,6.00
Mackay,-21.300,149.15,2001,2001,4,constant,6.30
Mackay,-21.300,149.15,2001,2001,3,constant,6.31
Mackay,-21.300,149.15,2001,2001,6,summer,6.43
Mackay,-21.300,149.15,2001,2001,4,constant,7.03
Mackay,-21.300,149.15,2001,2001,5,constant,7.36
Mackay,-21.300,149.15,2001,2001,2,constant,7.61
Mackay,-21.300,149.15,2001,2001,2,summer,7.75
Mackay,-21.300,149.15,2001,2001,4,summer,7.92
Mackay,-21.300,149.15,2001,2001,2,constant,7.94
Mackay,-21.300,149.15,2001,2001,2,winter,8.01
Mackay,-21.300,149.15,2001,2001,7,summer,8.01
Mackay,-21.300,149.15,2001,2001,5,winter,8.06
Mackay,-21.300,149.15,2001,2001,7,winter,8.18
Mackay,-21.300,149.15,2001,2001,6,summer,8.35
Mackay,-21.300,149.15,2001,2001,7,summer,8.36
Mackay,-21.300,149.15,2001,2001,6,winter,8.48
Mackay,-21.300,149.15,2001,2001,3,constant,8.50
Mackay,-21.300,149.15,2001,2001,2,constant,8.89
Mackay,-21.300,149.15,2001,2001,2,winter,8.93
Mackay,-21.300,149.15,2001,2001,7,constant,8.95
Mackay,-21.300,149.15,2001,2001,4,constant,8.99
Mackay,-21.300,149.15,2001,2001,5,winter,9.05
Mackay,-21.300,149.15,2001,2001,7,summer,9.10
Mackay,-21.300,149.15,2001,2001,1,winter,9.32
Mackay,-21.300,149.15,2001,2001,3,winter,9.49
Mackay,-21.300,149.15,2001,2001,8,winter,9.57
Mackay,-21.300,149.15,2001,2001,3,summer,9.59
Mackay,-21.300,149.15,2001,2001,1,summer,9.73
Mackay,-21.300,149.15,2001,2001,2,summer,9.81
Mackay,-21.300,149.15,2001,2001,7,constant,9.85
Mackay,-21.300,149.15,2001,2001,7,constant,10.08
Mackay,-21.300,149.15,2001,2001,8,summer,10.14
Mackay,-21.300,149.15,2001,2001,3,winter,10.34
Mackay,-21.300,149.15,2001,2001,5,constant,10.35
Mackay,-21.300,149.15,2001,2001,6,winter,10.40
Mackay,-21.300,149.15,2001,2001,6,constant,10.47
Mackay,-21.300,149.15,2001,2001,1,summer,10.52
