Population,ID_Nr,Latitude,Longitude,Year_start,Year_end,Locus,Allele1_fz,Allele2_fz,Allele3_fz,Allele4_fz,Allele5_fz,2n
Morven,50A,-26.380,147.230,1972,1996,Adh-1,0.000,0.613,0.387,,,80
Morven,50B,-26.380,147.230,1972,1996,Adh-1,0.000,0.650,0.350,,,260
Angellala,26,-26.400,146.870,1972,1996,Adh-1,0.000,0.458,0.542,,,118
Charleville,24A,-26.400,146.250,1972,1996,Adh-1,0.000,0.567,0.433,,,30
Charleville,24B,-26.400,146.250,1972,1996,Adh-1,0.000,0.691,0.309,,,178
Mungallala,27,-26.450,147.640,1972,1996,Adh-1,0.000,0.505,0.495,,,184
Roma,7A,-26.454,148.795,1972,1996,Adh-1,0.000,0.535,0.465,,,288
Roma,7B,-26.454,148.795,1972,1996,Adh-1,0.000,0.554,0.446,,,278
Roma,7C,-26.454,148.795,1972,1996,Adh-1,0.012,0.465,0.523,,,172
Roma,7D,-26.454,148.795,1972,1996,Adh-1,0.000,0.537,0.463,,,108
Roma,7E,-26.454,148.795,1972,1996,Adh-1,0.000,0.680,0.320,,,272
Jackson,28,-26.644,149.620,1972,1996,Adh-1,0.000,0.647,0.353,,,150
Chinchilla,33A,-26.803,150.725,1972,1996,Adh-1,0.000,0.636,0.364,,,132
Chinchilla,33B,-26.803,150.725,1972,1996,Adh-1, , , ,,,0
Murweh,23,-27.000,145.960,1972,1996,Adh-1,0.000,0.567,0.433,,,60
Dalby,29,-27.120,151.110,1972,1996,Adh-1,0.000,0.613,0.387,,,150
Deception_Bay,35,-27.200,153.040,1972,1996,Adh-1,0.000,0.917,0.083,,,84
Hemmant,31A,-27.435,153.131,1972,1996,Adh-1,0.000,0.865,0.135,,,170
Hemmant,31B,-27.435,153.131,1972,1996,Adh-1,0.000,0.838,0.162,,,142
Hemmant,31C,-27.435,153.131,1972,1996,Adh-1,0.000,0.741,0.259,,,112
Hemmant,31D,-27.435,153.131,1972,1996,Adh-1,0.000,0.745,0.255,,,196
Hemmant,31E,-27.435,153.131,1972,1996,Adh-1,0.000,0.828,0.172,,,1618
Hemmant,31F,-27.435,153.131,1972,1996,Adh-1,0.000,0.848,0.152,,,1828
Hemmant,31G,-27.435,153.131,1972,1996,Adh-1,0.000,0.780,0.220,,,656
Hemmant,31H,-27.435,153.131,1972,1996,Adh-1, , , ,,,0
Hemmant,31I,-27.435,153.131,1972,1996,Adh-1,0.000,0.770,0.230,,,488
Donga_Creek,13,-27.511,148.838,1972,1996,Adh-1,0.000,0.493,0.507,,,148
Borallon,19A,-27.524,152.699,1972,1996,Adh-1,0.000,0.567,0.433,,,30
Borallon,19B,-27.524,152.699,1972,1996,Adh-1,0.000,0.533,0.467,,,180
Toowoomba,8,-27.540,151.900,1972,1996,Adh-1,0.000,0.625,0.375,,,192
Yarmouth,22,-27.560,146.250,1972,1996,Adh-1,0.000,0.522,0.478,,,274
Moreton,34,-27.653,152.750,1972,1996,Adh-1,0.000,0.509,0.491,,,116
Grandchester_Hill,56,-27.671,152.449,1972,1996,Adh-1,0.000,0.582,0.418,,,208
Grandchester,30A,-27.678,152.445,1972,1996,Adh-1,0.000,0.567,0.433,,,224
Grandchester,30B,-27.678,152.445,1972,1996,Adh-1,0.000,0.538,0.462,,,1154
Warwick,57A,-28.247,152.019,1972,1996,Adh-1,0.000,0.622,0.378,,,82
Warwick,57B,-28.247,152.019,1972,1996,Adh-1, , , ,,,0
Moonie_Ponds,12A,-28.437,148.838,1972,1996,Adh-1,0.000,0.571,0.429,,,184
Moonie_Ponds,12B,-28.437,148.838,1972,1996,Adh-1,0.000,0.435,0.565,,,108
Burraweeda,65,-28.830,149.323,1972,1996,Adh-1,0.000,0.574,0.426,,,258
Borah,71,-28.922,149.395,1972,1996,Adh-1,0.014,0.542,0.444,,,144
Cleveland_East,10,-29.159,148.897,1972,1996,Adh-1,0.062,0.534,0.404,,,146
Cleveland_West,11,-29.159,148.898,1972,1996,Adh-1,0.008,0.614,0.379,,,132
Palmers_Is,64A,-29.420,153.300,1972,1996,Adh-1,0.000,0.522,0.478,,,578
Palmers_Is,64B,-29.420,153.300,1972,1996,Adh-1,0.000,0.665,0.335,,,236
Terry_Hie_Hie,21,-29.793,150.150,1972,1996,Adh-1,0.000,0.495,0.505,,,186
Metz_Gorge,70A,-30.579,151.889,1972,1996,Adh-1,0.000,0.134,0.866,,,112
Metz_Gorge,70B,-30.579,151.889,1972,1996,Adh-1,0.000,0.451,0.549,,,244
Metz_Gorge,70C,-30.579,151.889,1972,1996,Adh-1,0.000,0.584,0.416,,,298
Metz_Gorge,70D,-30.579,151.889,1972,1996,Adh-1,0.000,0.596,0.404,,,104
Metz_Gorge,70E,-30.579,151.889,1972,1996,Adh-1,0.000,0.626,0.374,,,198
Metz_Gorge,70F,-30.579,151.889,1972,1996,Adh-1,0.000,0.578,0.422,,,652
Metz_Gorge,70G,-30.579,151.889,1972,1996,Adh-1,0.000,0.651,0.349,,,484
Metz_Gorge,70H,-30.579,151.889,1972,1996,Adh-1,0.003,0.720,0.277,,,314
Metz_Gorge,70I,-30.579,151.889,1972,1996,Adh-1,0.000,0.517,0.483,,,1036
Metz_Gorge,70J,-30.579,151.889,1972,1996,Adh-1,0.000,0.623,0.377,,,220
Metz_Gorge,70K,-30.579,151.889,1972,1996,Adh-1,0.000,0.492,0.508,,,130
Metz_Gorge,70L,-30.579,151.889,1972,1996,Adh-1, , , ,,,0
Metz_Gorge,70M,-30.579,151.889,1972,1996,Adh-1,0.000,0.287,0.713,,,178
Kenebri,6A,-30.750,149.020,1972,1996,Adh-1,0.000,0.546,0.454,,,260
Kenebri,6B,-30.750,149.020,1972,1996,Adh-1,0.000,0.511,0.489,,,180
Kenebri,6C,-30.750,149.020,1972,1996,Adh-1,0.000,0.580,0.420,,,162
Kenebri,6D,-30.750,149.020,1972,1996,Adh-1,0.000,0.550,0.450,,,160
Kenebri,6E,-30.750,149.020,1972,1996,Adh-1,0.000,0.469,0.531,,,128
Tamworth,20,-31.080,151.100,1972,1996,Adh-1,0.000,0.528,0.472,,,72
Warrawong,9,-31.250,148.870,1972,1996,Adh-1,0.000,0.554,0.446,,,186
Breeza,61A,-31.250,150.450,1972,1996,Adh-1,0.000,0.491,0.509,,,770
Breeza,61B,-31.250,150.450,1972,1996,Adh-1,0.000,0.542,0.458,,,758
Breeza,61C,-31.250,150.450,1972,1996,Adh-1, , , ,,,0
Trinkey,68A,-31.350,149.950,1972,1996,Adh-1,0.000,0.507,0.493,,,404
Trinkey,68B,-31.350,149.950,1972,1996,Adh-1,0.000,0.487,0.513,,,374
Trinkey,68C,-31.350,149.950,1972,1996,Adh-1,0.000,0.551,0.449,,,354
Trinkey,68D,-31.350,149.950,1972,1996,Adh-1,0.000,0.549,0.451,,,304
Trinkey,68E,-31.350,149.950,1972,1996,Adh-1,0.000,0.506,0.494,,,342
Trinkey,68F,-31.350,149.950,1972,1996,Adh-1,0.000,0.548,0.452,,,712
Trinkey,68G,-31.350,149.950,1972,1996,Adh-1,0.000,0.558,0.442,,,364
O'Hara,59A,-32.430,150.650,1972,1996,Adh-1,0.000,0.513,0.487,,,238
O'Hara,59B,-32.430,150.650,1972,1996,Adh-1,0.000,0.530,0.470,,,132
O'Hara,59C,-32.430,150.650,1972,1996,Adh-1,0.000,0.647,0.353,,,34
O'Hara,59D,-32.430,150.650,1972,1996,Adh-1, , , ,,,0
O'Hara,59E,-32.430,150.650,1972,1996,Adh-1,0.000,0.466,0.534,,,116
O'Hara,59F,-32.430,150.650,1972,1996,Adh-1,0.000,0.520,0.480,,,502
O'Hara,59G,-32.430,150.650,1972,1996,Adh-1,0.000,0.463,0.538,,,160
O'Hara,59H,-32.430,150.650,1972,1996,Adh-1,0.000,0.491,0.509,,,350
O'Hara,59I,-32.430,150.650,1972,1996,Adh-1,0.000,0.528,0.472,,,246
O'Hara,59J,-32.430,150.650,1972,1996,Adh-1,0.000,0.544,0.456,,,340
O'Hara,59K,-32.430,150.650,1972,1996,Adh-1,0.000,0.668,0.332,,,208
Cox,60A,-32.460,150.680,1972,1996,Adh-1,0.000,0.464,0.536,,,576
Cox,60B,-32.460,150.680,1972,1996,Adh-1,0.000,0.503,0.497,,,770
Cox,60C,-32.460,150.680,1972,1996,Adh-1,0.000,0.595,0.405,,,996
Cox,60D,-32.460,150.680,1972,1996,Adh-1,0.000,0.451,0.549,,,268
Cox,60E,-32.460,150.680,1972,1996,Adh-1,0.000,0.525,0.475,,,360
Cox,60F,-32.460,150.680,1972,1996,Adh-1,0.000,0.491,0.509,,,674
Cox,60G,-32.460,150.680,1972,1996,Adh-1,0.000,0.531,0.469,,,32
Cox,60H,-32.460,150.680,1972,1996,Adh-1,0.000,0.514,0.486,,,216
Yarrawonga,5A,-32.490,150.600,1972,1996,Adh-1,0.000,0.326,0.674,,,144
Yarrawonga,5AA,-32.490,150.600,1972,1996,Adh-1,0.000,0.488,0.512,,,988
Yarrawonga,5B,-32.490,150.600,1972,1996,Adh-1, , , ,,,0
Yarrawonga,5BB,-32.490,150.600,1972,1996,Adh-1,0.000,0.508,0.492,,,776
Yarrawonga,5C,-32.490,150.600,1972,1996,Adh-1, , , ,,,0
Yarrawonga,5CC,-32.490,150.600,1972,1996,Adh-1,0.000,0.419,0.581,,,334
Yarrawonga,5D,-32.490,150.600,1972,1996,Adh-1, , , ,,,0
Yarrawonga,5DD,-32.490,150.600,1972,1996,Adh-1,0.000,0.413,0.587,,,126
Yarrawonga,5E,-32.490,150.600,1972,1996,Adh-1, , , ,,,0
Yarrawonga,5EE,-32.490,150.600,1972,1996,Adh-1,0.000,0.447,0.553,,,38
Yarrawonga,5F,-32.490,150.600,1972,1996,Adh-1, , , ,,,0
Yarrawonga,5FF,-32.490,150.600,1972,1996,Adh-1,0.000,0.492,0.508,,,118
Yarrawonga,5G,-32.490,150.600,1972,1996,Adh-1, , , ,,,0
Yarrawonga,5GG,-32.490,150.600,1972,1996,Adh-1,0.000,0.455,0.545,,,176
Yarrawonga,5H,-32.490,150.600,1972,1996,Adh-1, , , ,,,0
Yarrawonga,5HH,-32.490,150.600,1972,1996,Adh-1,0.000,0.496,0.504,,,1354
Yarrawonga,5I,-32.490,150.600,1972,1996,Adh-1, , , ,,,0
Yarrawonga,5II,-32.490,150.600,1972,1996,Adh-1,0.000,0.511,0.489,,,2240
Yarrawonga,5J,-32.490,150.600,1972,1996,Adh-1, , , ,,,0
Yarrawonga,5JJ,-32.490,150.600,1972,1996,Adh-1,0.000,0.498,0.502,,,1748
Yarrawonga,5K,-32.490,150.600,1972,1996,Adh-1, , , ,,,0
Yarrawonga,5KK,-32.490,150.600,1972,1996,Adh-1,0.000,0.496,0.504,,,242
Yarrawonga,5L,-32.490,150.600,1972,1996,Adh-1,0.000,0.533,0.467,,,904
Yarrawonga,5LL,-32.490,150.600,1972,1996,Adh-1,0.000,0.473,0.527,,,954
Yarrawonga,5M,-32.490,150.600,1972,1996,Adh-1, , , ,,,0
Yarrawonga,5MM,-32.490,150.600,1972,1996,Adh-1,0.000,0.451,0.549,,,1636
Yarrawonga,5N,-32.490,150.600,1972,1996,Adh-1, , , ,,,0
Yarrawonga,5NN,-32.490,150.600,1972,1996,Adh-1,0.000,0.482,0.518,,,986
Yarrawonga,5O,-32.490,150.600,1972,1996,Adh-1, , , ,,,0
Yarrawonga,5OO,-32.490,150.600,1972,1996,Adh-1,0.000,0.554,0.446,,,56
Yarrawonga,5P,-32.490,150.600,1972,1996,Adh-1, , , ,,,0
Yarrawonga,5PP,-32.490,150.600,1972,1996,Adh-1,0.000,0.500,0.500,,,68
Yarrawonga,5Q,-32.490,150.600,1972,1996,Adh-1, , , ,,,0
Yarrawonga,5QQ,-32.490,150.600,1972,1996,Adh-1,0.000,0.542,0.458,,,72
Yarrawonga,5R,-32.490,150.600,1972,1996,Adh-1, , , ,,,0
Yarrawonga,5RR,-32.490,150.600,1972,1996,Adh-1,0.000,0.485,0.515,,,136
Yarrawonga,5S,-32.490,150.600,1972,1996,Adh-1, , , ,,,0
Yarrawonga,5SS,-32.490,150.600,1972,1996,Adh-1,0.000,0.479,0.521,,,1464
Yarrawonga,5T,-32.490,150.600,1972,1996,Adh-1,0.000,0.556,0.444,,,18
Yarrawonga,5TT,-32.490,150.600,1972,1996,Adh-1,0.000,0.472,0.528,,,252
Yarrawonga,5U,-32.490,150.600,1972,1996,Adh-1,0.000,0.650,0.350,,,40
Yarrawonga,5UU,-32.490,150.600,1972,1996,Adh-1,0.000,0.550,0.450,,,662
Yarrawonga,5V,-32.490,150.600,1972,1996,Adh-1,0.000,0.535,0.465,,,86
Yarrawonga,5VV,-32.490,150.600,1972,1996,Adh-1,0.000,0.527,0.473,,,3092
Yarrawonga,5W,-32.490,150.600,1972,1996,Adh-1,0.000,0.517,0.483,,,830
Yarrawonga,5X,-32.490,150.600,1972,1996,Adh-1,0.000,0.495,0.505,,,188
Yarrawonga,5Y,-32.490,150.600,1972,1996,Adh-1,0.000,0.359,0.641,,,64
Yarrawonga,5Z,-32.490,150.600,1972,1996,Adh-1,0.000,0.454,0.546,,,174
Woodlands_Hill,4B,-32.500,150.783,1972,1996,Adh-1, , , ,,,0
Woodlands_Hill,4C,-32.500,150.783,1972,1996,Adh-1,0.000,0.341,0.659,,,126
Warkworth,3B,-32.567,151.017,1972,1996,Adh-1, , , ,,,0
Warkworth,3C,-32.567,151.017,1972,1996,Adh-1,0.000,0.416,0.584,,,166
Warkworth,3D,-32.567,151.017,1972,1996,Adh-1,0.000,0.489,0.511,,,190
Warkworth,3E,-32.567,151.017,1972,1996,Adh-1,0.000,0.573,0.427,,,178
Lady_Jane_Beach,58,-33.833,151.300,1972,1996,Adh-1,0.000,0.655,0.345,,,84
Cobbity,2,-34.017,150.667,1972,1996,Adh-1,0.000,0.352,0.648,,,128
Cawdor,1,-34.100,150.667,1972,1996,Adh-1,0.000,0.379,0.621,,,140
Mildura,48,-34.217,142.150,1972,1996,Adh-1,0.000,0.520,0.480,,,102
"Block_598,_Cardross",43,-34.300,142.150,1972,1996,Adh-1,0.000,0.578,0.422,,,256
Cardross_Reserve,44,-34.300,142.167,1972,1996,Adh-1,0.000,0.507,0.493,,,446
"Cureton_Ave,_Sunnycliffs",47,-34.300,142.200,1972,1996,Adh-1,0.000,0.625,0.375,,,72
"Block_575,_Cardross",42,-34.317,142.133,1972,1996,Adh-1,0.000,0.468,0.532,,,156
"Block_260,_Sunnycliffs",45,-34.317,142.183,1972,1996,Adh-1,0.000,0.554,0.446,,,428
"Block_270,_Sunnycliffs",46,-34.317,142.200,1972,1996,Adh-1,0.000,0.561,0.439,,,98
Parafield,62,-34.800,138.650,1972,1996,Adh-1,0.000,0.431,0.569,,,288
Pooraka,49,-34.817,138.117,1972,1996,Adh-1,0.000,0.250,0.750,,,56
Wood_Wood,41,-35.117,143.350,1972,1996,Adh-1,0.000,0.446,0.554,,,404
Dead_Horse_Lane,40,-35.367,143.550,1972,1996,Adh-1,0.000,0.600,0.400,,,120
Bulla,63A,-37.654,144.769,1972,1996,Adh-1,0.000,0.362,0.638,,,378
Bulla,63B,-37.654,144.769,1972,1996,Adh-1,0.000,0.339,0.661,,,280
Bulla,63C,-37.654,144.769,1972,1996,Adh-1,0.000,0.300,0.700,,,70
Mackay,36,-21.170,149.220,1972,1996,Aldox,1.000,0.000,0.000,,,24
Nth_Keppel_Is.,54A,-23.090,150.870,1972,1996,Aldox,0.972,0.028,0.000,,,142
Nth_Keppel_Is.,54B,-23.090,150.870,1972,1996,Aldox,1.000,0.000,0.000,,,144
Mulambin_Beach,55A,-23.188,150.789,1972,1996,Aldox,0.974,0.026,0.000,,,76
Mulambin_Beach,55B,-23.188,150.789,1972,1996,Aldox,0.875,0.096,0.029,,,104
Emu_Park,32A,-23.240,150.840,1972,1996,Aldox,0.988,0.012,0.000,,,84
Emu_Park,32B,-23.240,150.840,1972,1996,Aldox,0.944,0.056,0.000,,,18
Masthead_Is.,69,-23.540,151.730,1972,1996,Aldox,0.757,0.200,0.043,,,70
Westwood,16A,-23.647,150.149,1972,1996,Aldox,0.958,0.042,0.000,,,48
Westwood,16B,-23.647,150.149,1972,1996,Aldox,0.880,0.120,0.000,,,142
Westwood,16C,-23.647,150.149,1972,1996,Aldox,0.855,0.129,0.016,,,62
Westwood,16D,-23.647,150.149,1972,1996,Aldox,0.824,0.137,0.039,,,102
Dixalea,17A,-23.928,150.284,1972,1996,Aldox,0.969,0.031,0.000,,,32
Dixalea,17C,-23.928,150.284,1972,1996,Aldox,0.967,0.033,0.000,,,180
Glen_Elgin,15A,-24.620,149.190,1972,1996,Aldox,0.922,0.078,0.000,,,166
Glen_Elgin,15B,-24.620,149.190,1972,1996,Aldox,1.000,0.000,0.000,,,20
Glen_Elgin,15C,-24.620,149.190,1972,1996,Aldox,1.000,0.000,0.000,,,46
Glen_Elgin,15D,-24.620,149.190,1972,1996,Aldox,0.965,0.035,0.000,,,286
Planet_Downs,51A,-24.630,149.030,1972,1996,Aldox,0.956,0.044,0.000,,,68
Planet_Downs,51B,-24.630,149.030,1972,1996,Aldox,0.819,0.165,0.016,,,182
Theodore,18A,-25.023,150.044,1972,1996,Aldox,0.909,0.091,0.000,,,44
Theodore,18B,-25.023,150.044,1972,1996,Aldox,0.952,0.048,0.000,,,126
Theodore,18C,-25.023,150.044,1972,1996,Aldox,0.828,0.112,0.060,,,116
Isla_Gorge,72,-25.247,149.941,1972,1996,Aldox,0.840,0.151,0.009,,,106
Bulloo_Lakes,25,-25.590,144.600,1972,1996,Aldox,0.946,0.054,0.000,,,56
Telegraph_Plains,67,-25.669,149.832,1972,1996,Aldox,0.875,0.100,0.025,,,160
Injune,14,-25.754,148.656,1972,1996,Aldox,0.916,0.084,0.000,,,154
Injune_Creek,66A,-25.900,148.548,1972,1996,Aldox,0.836,0.164,0.000,,,110
Injune_Creek,66B,-25.900,148.548,1972,1996,Aldox,0.765,0.162,0.074,,,68
Morven,50A,-26.380,147.230,1972,1996,Aldox,0.964,0.036,0.000,,,84
Morven,50B,-26.380,147.230,1972,1996,Aldox,1.000,0.000,0.000,,,270
Angellala,26,-26.400,146.870,1972,1996,Aldox,0.964,0.036,0.000,,,140
Charleville,24A,-26.400,146.250,1972,1996,Aldox,1.000,0.000,0.000,,,50
Charleville,24B,-26.400,146.250,1972,1996,Aldox,0.973,0.027,0.000,,,188
Mungallala,27,-26.450,147.640,1972,1996,Aldox,0.926,0.074,0.000,,,162
Roma,7A,-26.454,148.795,1972,1996,Aldox,0.925,0.075,0.000,,,254
Roma,7B,-26.454,148.795,1972,1996,Aldox,0.935,0.065,0.000,,,306
Roma,7C,-26.454,148.795,1972,1996,Aldox,0.949,0.051,0.000,,,178
Roma,7D,-26.454,148.795,1972,1996,Aldox,0.979,0.021,0.000,,,94
Roma,7E,-26.454,148.795,1972,1996,Aldox,0.970,0.030,0.000,,,304
Jackson,28,-26.644,149.620,1972,1996,Aldox,0.975,0.025,0.000,,,158
Chinchilla,33A,-26.803,150.725,1972,1996,Aldox,0.930,0.070,0.000,,,100
Chinchilla,33B,-26.803,150.725,1972,1996,Aldox, , , ,,,0
Murweh,23,-27.000,145.960,1972,1996,Aldox,0.929,0.071,0.000,,,14
Dalby,29,-27.120,151.110,1972,1996,Aldox,0.962,0.038,0.000,,,156
Deception_Bay,35,-27.200,153.040,1972,1996,Aldox,0.956,0.044,0.000,,,68
Hemmant,31A,-27.435,153.131,1972,1996,Aldox,0.986,0.014,0.000,,,220
Hemmant,31B,-27.435,153.131,1972,1996,Aldox,0.978,0.022,0.000,,,318
Hemmant,31C,-27.435,153.131,1972,1996,Aldox,0.990,0.010,0.000,,,102
Hemmant,31D,-27.435,153.131,1972,1996,Aldox,0.973,0.027,0.000,,,148
Hemmant,31E,-27.435,153.131,1972,1996,Aldox,0.991,0.009,0.000,,,1620
Hemmant,31F,-27.435,153.131,1972,1996,Aldox,0.992,0.008,0.000,,,2000
Hemmant,31G,-27.435,153.131,1972,1996,Aldox, , , ,,,0
Hemmant,31H,-27.435,153.131,1972,1996,Aldox, , , ,,,0
Hemmant,31I,-27.435,153.131,1972,1996,Aldox,0.866,0.134,0.000,,,484
Donga_Creek,13,-27.511,148.838,1972,1996,Aldox,0.939,0.061,0.000,,,312
Borallon,19A,-27.524,152.699,1972,1996,Aldox,0.904,0.096,0.000,,,52
Borallon,19B,-27.524,152.699,1972,1996,Aldox,1.000,0.000,0.000,,,180
Toowoomba,8,-27.540,151.900,1972,1996,Aldox,0.943,0.057,0.000,,,424
Yarmouth,22,-27.560,146.250,1972,1996,Aldox,1.000,0.000,0.000,,,110
Moreton,34,-27.653,152.750,1972,1996,Aldox,0.962,0.038,0.000,,,78
Grandchester_Hill,56,-27.671,152.449,1972,1996,Aldox,0.976,0.024,0.000,,,208
Grandchester,30A,-27.678,152.445,1972,1996,Aldox,0.957,0.043,0.000,,,162
Grandchester,30B,-27.678,152.445,1972,1996,Aldox,0.963,0.037,0.000,,,1156
Warwick,57A,-28.247,152.019,1972,1996,Aldox,0.988,0.012,0.000,,,86
Warwick,57B,-28.247,152.019,1972,1996,Aldox, , , ,,,0
Moonie_Ponds,12A,-28.437,148.838,1972,1996,Aldox,0.913,0.087,0.000,,,160
Moonie_Ponds,12B,-28.437,148.838,1972,1996,Aldox,0.938,0.062,0.000,,,48
Burraweeda,65,-28.830,149.323,1972,1996,Aldox,0.808,0.192,0.000,,,130
Borah,71,-28.922,149.395,1972,1996,Aldox,0.828,0.090,0.082,,,134
Cleveland_East,10,-29.159,148.897,1972,1996,Aldox,0.837,0.163,0.000,,,98
Cleveland_West,11,-29.159,148.898,1972,1996,Aldox,0.906,0.094,0.000,,,96
Palmers_Is,64A,-29.420,153.300,1972,1996,Aldox, , , ,,,0
Palmers_Is,64B,-29.420,153.300,1972,1996,Aldox,0.823,0.153,0.024,,,248
Terry_Hie_Hie,21,-29.793,150.150,1972,1996,Aldox,0.928,0.072,0.000,,,180
Metz_Gorge,70A,-30.579,151.889,1972,1996,Aldox,1.000,0.000,0.000,,,126
Metz_Gorge,70B,-30.579,151.889,1972,1996,Aldox,0.966,0.034,0.000,,,238
Metz_Gorge,70C,-30.579,151.889,1972,1996,Aldox,1.000,0.000,0.000,,,68
Metz_Gorge,70D,-30.579,151.889,1972,1996,Aldox,0.960,0.040,0.000,,,226
Metz_Gorge,70E,-30.579,151.889,1972,1996,Aldox,0.995,0.005,0.000,,,204
Metz_Gorge,70F,-30.579,151.889,1972,1996,Aldox,0.979,0.020,0.002,,,660
Metz_Gorge,70G,-30.579,151.889,1972,1996,Aldox,0.994,0.006,0.000,,,356
Metz_Gorge,70H,-30.579,151.889,1972,1996,Aldox,0.964,0.031,0.005,,,392
Metz_Gorge,70I,-30.579,151.889,1972,1996,Aldox,0.981,0.019,0.000,,,1272
Metz_Gorge,70J,-30.579,151.889,1972,1996,Aldox,0.944,0.056,0.000,,,124
Metz_Gorge,70K,-30.579,151.889,1972,1996,Aldox,0.939,0.061,0.000,,,228
Metz_Gorge,70L,-30.579,151.889,1972,1996,Aldox,0.788,0.204,0.008,,,260
Metz_Gorge,70M,-30.579,151.889,1972,1996,Aldox,0.801,0.188,0.011,,,176
Kenebri,6A,-30.750,149.020,1972,1996,Aldox,0.983,0.017,0.000,,,298
Kenebri,6B,-30.750,149.020,1972,1996,Aldox,0.919,0.081,0.000,,,186
Kenebri,6C,-30.750,149.020,1972,1996,Aldox,0.961,0.039,0.000,,,280
Kenebri,6D,-30.750,149.020,1972,1996,Aldox,1.000,0.000,0.000,,,130
Kenebri,6E,-30.750,149.020,1972,1996,Aldox,0.939,0.061,0.000,,,114
Tamworth,20,-31.080,151.100,1972,1996,Aldox,0.979,0.021,0.000,,,140
Warrawong,9,-31.250,148.870,1972,1996,Aldox,0.936,0.064,0.000,,,78
Breeza,61A,-31.250,150.450,1972,1996,Aldox,0.983,0.017,0.000,,,642
Breeza,61B,-31.250,150.450,1972,1996,Aldox,0.984,0.016,0.000,,,792
Breeza,61C,-31.250,150.450,1972,1996,Aldox, , , ,,,0
Trinkey,68A,-31.350,149.950,1972,1996,Aldox,0.886,0.107,0.007,,,412
Trinkey,68B,-31.350,149.950,1972,1996,Aldox,0.858,0.126,0.015,,,388
Trinkey,68C,-31.350,149.950,1972,1996,Aldox,0.854,0.135,0.011,,,370
Trinkey,68D,-31.350,149.950,1972,1996,Aldox,0.877,0.113,0.009,,,318
Trinkey,68E,-31.350,149.950,1972,1996,Aldox,0.849,0.141,0.010,,,384
Trinkey,68F,-31.350,149.950,1972,1996,Aldox,0.905,0.088,0.008,,,660
Trinkey,68G,-31.350,149.950,1972,1996,Aldox,0.893,0.098,0.008,,,366
O'Hara,59A,-32.430,150.650,1972,1996,Aldox,0.996,0.004,0.000,,,238
