Latitude,Longitude,Year_start,Year_end,Sex,Thorax_length,Wing_centroid_size
-21.08,148.63,2008,2008,male,0.84,1.38
-23.00,150.63,2008,2008,male,0.76,1.26
-23.00,150.63,2008,2008,male,0.80,1.36
-23.00,150.63,2008,2008,male,0.78,1.34
-23.00,150.63,2008,2008,male,0.73,1.31
-23.00,150.63,2008,2008,male,0.80,1.31
-23.00,150.63,2008,2008,male,0.82,1.38
-23.00,150.63,2008,2008,male,0.80,1.36
-23.00,150.63,2008,2008,male,0.78,1.32
-23.00,150.63,2008,2008,male,0.80,1.35
-23.00,150.63,2008,2008,male,0.73,1.27
-23.00,150.63,2008,2008,male,0.82,1.41
-23.00,150.63,2008,2008,male,0.78,1.32
-23.00,150.63,2008,2008,male,0.76,1.27
-23.00,150.63,2008,2008,male,0.69,1.24
-23.00,150.63,2008,2008,male,0.78,1.25
-25.32,152.69,2008,2008,male,0.76,1.31
-25.32,152.69,2008,2008,male,0.73,1.27
-25.32,152.69,2008,2008,male,0.78,1.34
-25.32,152.69,2008,2008,male,0.80,1.35
-25.32,152.69,2008,2008,male,0.78,1.34
-25.32,152.69,2008,2008,male,0.80,1.32
-25.32,152.69,2008,2008,male,0.78,1.35
-25.32,152.69,2008,2008,male,0.80,1.32
-25.32,152.69,2008,2008,male,0.78,1.33
-25.32,152.69,2008,2008,male,0.78,1.31
-25.32,152.69,2008,2008,male,0.76,1.28
-25.32,152.69,2008,2008,male,0.78,1.30
-27.00,153.02,2008,2008,male,0.84,1.31
-27.00,153.02,2008,2008,male,0.80,1.32
-27.00,153.02,2008,2008,male,0.84,1.38
-27.00,153.02,2008,2008,male,0.76,1.30
-27.00,153.02,2008,2008,male,0.78,1.39
-27.00,153.02,2008,2008,male,0.76,1.20
-27.00,153.02,2008,2008,male,0.78,1.29
-27.00,153.02,2008,2008,male,0.82,1.42
-27.00,153.02,2008,2008,male,0.76,1.38
-27.00,153.02,2008,2008,male,0.78,1.31
-27.00,153.02,2008,2008,male,0.78,1.37
-27.00,153.02,2008,2008,male,0.78,1.32
-27.00,153.02,2008,2008,male,0.73,1.25
-27.00,153.02,2008,2008,male,0.76,1.35
-27.00,153.02,2008,2008,male,0.76,1.35
-27.00,153.02,2008,2008,male,0.78,1.33
-27.00,153.02,2008,2008,male,0.78,1.40
-30.00,153.23,2008,2008,male,0.82,1.37
-30.00,153.23,2008,2008,male,0.80,1.36
-30.00,153.23,2008,2008,male,0.80,1.34
-30.00,153.23,2008,2008,male,0.78,1.41
-30.00,153.23,2008,2008,male,0.80,1.28
-30.00,153.23,2008,2008,male,0.80,1.38
-30.00,153.23,2008,2008,male,0.76,1.31
-30.00,153.23,2008,2008,male,0.82,1.34
-30.00,153.23,2008,2008,male,0.84,1.37
-30.00,153.23,2008,2008,male,0.84,1.32
-30.00,153.23,2008,2008,male,0.82,1.36
-30.00,153.23,2008,2008,male,0.76,1.38
-30.00,153.23,2008,2008,male,0.76,1.33
-30.00,153.23,2008,2008,male,0.82,1.43
-30.00,153.23,2008,2008,male,0.80,1.41
-30.00,153.23,2008,2008,male,0.87,1.36
-31.25,152.73,2008,2008,male,0.78,1.22
-31.25,152.73,2008,2008,male,0.82,1.38
-31.25,152.73,2008,2008,male,0.82,1.36
-31.25,152.73,2008,2008,male,0.78,1.29
-31.25,152.73,2008,2008,male,0.82,1.34
-31.25,152.73,2008,2008,male,0.78,1.34
-31.25,152.73,2008,2008,male,0.78,1.35
-31.25,152.73,2008,2008,male,0.78,1.30
-31.25,152.73,2008,2008,male,0.76,1.25
-31.25,152.73,2008,2008,male,0.78,1.38
-31.25,152.73,2008,2008,male,0.78,1.32
-31.25,152.73,2008,2008,male,0.80,1.39
-31.25,152.73,2008,2008,male,0.80,1.37
-31.25,152.73,2008,2008,male,0.76,1.25
-31.25,152.73,2008,2008,male,0.80,1.28
-31.25,152.73,2008,2008,male,0.80,1.39
-31.25,152.73,2008,2008,male,0.78,1.29
-32.22,152.50,2008,2008,male,0.82,1.43
-32.22,152.50,2008,2008,male,0.82,1.43
-32.22,152.50,2008,2008,male,0.80,1.38
-32.22,152.50,2008,2008,male,0.82,1.42
-32.22,152.50,2008,2008,male,0.76,1.30
-32.22,152.50,2008,2008,male,0.84,1.36
-32.22,152.50,2008,2008,male,0.84,1.40
-32.22,152.50,2008,2008,male,0.78,1.30
-32.22,152.50,2008,2008,male,0.80,1.42
-32.22,152.50,2008,2008,male,0.87,1.44
-32.22,152.50,2008,2008,male,0.73,1.30
-32.22,152.50,2008,2008,male,0.84,1.40
-32.22,152.50,2008,2008,male,0.80,1.34
-32.22,152.50,2008,2008,male,0.76,1.34
-32.22,152.50,2008,2008,male,0.76,1.39
-32.22,152.50,2008,2008,male,0.78,1.36
-34.44,150.8,2008,2008,male,0.84,1.25
-34.44,150.8,2008,2008,male,0.78,1.40
-34.44,150.8,2008,2008,male,0.80,1.37
-34.44,150.8,2008,2008,male,0.84,1.41
-34.44,150.8,2008,2008,male,0.87,1.42
-34.44,150.8,2008,2008,male,0.84,1.47
-34.44,150.8,2008,2008,male,0.76,1.31
-34.44,150.8,2008,2008,male,0.93,1.62
-34.44,150.8,2008,2008,male,0.76,1.30
-34.44,150.8,2008,2008,male,0.93,1.41
-34.44,150.8,2008,2008,male,0.76,1.34
-34.44,150.8,2008,2008,male,0.78,1.32
-34.44,150.8,2008,2008,male,0.76,1.37
-34.44,150.8,2008,2008,male,0.76,1.36
-34.44,150.8,2008,2008,male,0.80,1.35
-36.17,149.78,2008,2008,male,0.89,1.46
-36.17,149.78,2008,2008,male,0.87,1.47
-36.17,149.78,2008,2008,male,0.78,1.36
