Location,Latitude,Longitude,Species,Year_start,Year_end
Kirrama,-18.191,145.868,D._birchii,2000,2000
Kirrama,-18.191,145.868,D._birchii,2001,2001
Kirrama,-18.191,145.868,D._birchii,2002,2002
Lake_Barrine,-17.240,145.637,D._sp._cf._jambulina,2001,2001
Lake_Barrine,-17.240,145.637,D._serrata,1999,1999
Lake_Barrine,-17.240,145.637,D._serrata,2002,2002
Lake_Barrine,-17.240,145.637,D._bunnanda,2001,2001
Lake_Barrine,-17.240,145.637,D._bunnanda,2002,2002
Lake_Barrine,-17.240,145.637,D._birchii,1999,1999
Lake_Barrine,-17.240,145.637,D._birchii,2000,2000
Lake_Barrine,-17.240,145.637,D._birchii,2001,2001
Lake_Barrine,-17.240,145.637,D._birchii,2002,2002
Lake_Eacham,-17.274,145.617,D._birchii,2000,2000
Lake_Eacham,-17.274,145.617,D._birchii,2001,2001
Lake_Eacham,-17.286,145.607,D._sp._cf._jambulina,1993,1993
Lake_Eacham,-17.286,145.607,D._birchii,1993,1993
Lake_Placid,-16.867,145.671,D._sp._cf._jambulina,2001,2001
Lake_Placid,-16.867,145.671,D._sp._cf._jambulina,2002,2002
Lake_Placid,-16.867,145.671,D._serrata,2000,2000
Lake_Placid,-16.867,145.671,D._serrata,2001,2001
Lake_Placid,-16.867,145.671,D._serrata,2002,2002
Lake_Placid,-16.867,145.671,D._serrata,2003,2003
Lake_Placid,-16.867,145.671,D._kikkawai,2001,2001
Lake_Placid,-16.867,145.671,D._bunnanda,1999,1999
Lake_Placid,-16.867,145.671,D._bunnanda,2000,2000
Lake_Placid,-16.867,145.671,D._bunnanda,2001,2001
Lake_Placid,-16.867,145.671,D._bunnanda,2002,2002
Lake_Placid,-16.867,145.671,D._bunnanda,2003,2003
Lake_Placid,-16.867,145.671,D._birchii,1999,1999
Lake_Placid,-16.867,145.671,D._birchii,2000,2000
Lake_Placid,-16.867,145.671,D._birchii,2001,2001
Lake_Placid,-16.867,145.671,D._birchii,2002,2002
Lake_Placid,-16.867,145.671,D._birchii,2003,2003
Landsborough,-26.800,152.950,D._serrata,1952,1952
Landsborough,-26.800,152.950,D._serrata,1953,1953
Lord_Howe_Island,-31.500,159.067,D._serrata,1978,1978
Lowanna,-30.070,152.875,D._serrata,1993,1993
Mackay,-21.122,149.159,D._sp._cf._jambulina,2002,2002
Mackay,-21.122,149.159,D._serrata,2000,2000
Mackay,-21.122,149.159,D._serrata,2001,2001
Mackay,-21.122,149.159,D._serrata,2002,2002
Manning_Point,-31.967,152.667,D._serrata,Unknown,Unknown
