Population,Latitude,Longitude,Year_start,Year_end,Altitude_class,Altitude,Treatment,Run,Vial,Heat_knockdown_time
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,12,2,18
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,13,1,18
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,13,2,15
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,14,1,20
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,14,2,19
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,15,1,12
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,15,2, 
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,16,1,20
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,16,2,13
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,17,1,15
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,17,2,17
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,18,1,17
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,18,2,11
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,1,1,22
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,1,2,15
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,2,1,21
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,2,2,23
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,3,1,27
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,3,2,21
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,4,1,18
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,4,2,18
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,5,1,18
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,5,2,15
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,6,1,28
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,6,2,17
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,7,1,25
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,7,2,26
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,8,1,13
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,8,2,25
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,9,1,16
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,9,2,18
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,10,1,15
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,10,2,19
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,11,1,18
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,11,2,15
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,12,1,17
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,12,2,17
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,13,1,26
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,13,2,22
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,14,1,10
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,14,2,16
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,15,1,17
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,15,2,16
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,16,1,20
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,16,2,10
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,17,1,13
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,17,2,14
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,18,1,14
