Population,Latitude,Longitude,Year_start,Year_end,Total_egg_count,Midpoint_of_egg_laying,Mean_egg_laying_rate_until_day98.5,Mean_egg_laying_rate_day98.5_to_end,Mean_egg_laying_rate_day98.5_to_day144,Mean_longevity_females,Mean_longevity_males,Mean_longevity_total,Total_longevity_Day8_to_end,Fitness
Melbourne,-37.75,144.96,2000,2000,1457,100.496,0.336,5.260,3.723,88.206,86.344,87.303,89.859,685.920
Melbourne,-37.75,144.96,2000,2000,1331,96.261,0.436,6.449,6.509,78.588,66.824,72.706,81.667,513.600
Melbourne,-37.75,144.96,2000,2000,355,64.982,0.265,3.629,3.382,46.265,48.559,47.412,60.308,78.060
Melbourne,-37.75,144.96,2000,2000,504,65.466,0.217,2.996,2.802,75.176,98.735,86.956,86.956,108.900
Launceston,-41.15,146.89,2000,2000,503,59.888,0.500,4.514,4.514,53.176,73.588,63.382,75.786,51.840
Launceston,-41.15,146.89,2000,2000,598,62.042,0.436,3.401,3.401,57.235,100.765,79.000,94.750,93.600
Launceston,-41.15,146.89,2000,2000,623,71.141,0.381,3.141,3.141,74.588,74.344,74.470,78.919,103.680
Launceston,-41.15,146.89,2000,2000,1596,94.125,0.458,3.454,4.361,97.824,70.206,84.015,97.552,632.160
Launceston,-41.15,146.89,2000,2000,1517,75.868,0.866,4.766,5.107,68.529,84.088,76.309,94.667,338.040
Launceston,-41.15,146.89,2000,2000,831,80.317,0.311,1.135,1.865,75.594,101.250,88.422,91.097,219.300
Launceston,-41.15,146.89,2000,2000,437,42.263,0.770,1.000,1.000,41.559,70.676,56.118,74.340,2.880
Launceston,-41.15,146.89,2000,2000,623,76.710,0.279,2.259,2.259,72.853,75.118,73.985,76.061,145.440
Launceston,-41.15,146.89,2000,2000,549,62.195,0.400,3.817,3.817,56.471,81.588,69.029,70.955,90.900
Launceston,-41.15,146.89,2000,2000,1103,82.355,0.340,4.738,5.076,72.941,85.647,79.294,92.017,410.400
Launceston,-41.15,146.89,2000,2000,1156,82.304,0.560,4.773,4.773,69.618,82.471,76.044,91.161,296.760
Launceston,-41.15,146.89,2000,2000,1285,93.868,0.492,5.545,5.302,66.353,82.063,73.970,95.880,533.520
